Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,400,300,926.00,696.00,9.21
2S-W1,3000,7500,60.00,150.00,1.09
7UP,11200,900,4375.00,354.00,0.18
AAV,127000,1819700,504230.00,7217234.00,14.98
ACAP,18000,16100,46800.00,41630.00,6.85
ACC-W1,470900,0,4719.00,0,40.05
ADB,0,46600,0,39825.00,17.26
ADVANC,1424400,2053300,243066850.00,349672050.00,23.10
AEONTS,24000,39000,3994750.00,6562700.00,4.10
AF,0,1900,0,1184.00,3.70
AH,113400,86200,2123370.00,1612130.00,8.06
AHC,200,500,3360.00,8350.00,5.38
AIT,1700,1000,34340.00,20200.00,1.33
AJA,4837500,121600,1110632.00,26985.00,2.63
AKP,11200,900,21289.00,1700.00,9.74
ALT,10000,0,32200.00,0,0.92
ALT-W1,800,0,557.00,0,0.09
AMANAH,201600,103800,314108.00,164601.00,9.33
AMATA,2227100,3503400,46427920.00,72477160.00,9.57
AMATAV,4000,103600,17520.00,454988.00,34.18
ANAN,726400,866300,2336414.00,2787454.00,16.15
AOT,6420900,4427110,432066825.00,298401002.50,17.95
AP,1750200,962300,11596815.00,6351530.00,31.06
APEX,0,200000,0,40000.00,8.27
APURE,15000,0,19050.00,0,20.95
AQ,5100,310000,153.00,9000.00,1.99
AQUA,10100,100,4040.00,39.00,0.10
ARIP,66100,280000,30623.00,129250.00,1.58
ARROW,22400,0,173600.00,0,28.21
ASAP,11500,59600,37386.00,195336.00,9.27
ASIAN,627600,181700,5032765.00,1463445.00,4.70
ASP,58700,158200,184496.00,499550.00,18.11
ATP30,0,41700,0,63071.00,19.91
ATP30-W1,123500,0,68550.00,0,13.14
AU,85500,0,634970.00,0,3.54
AUCT,10000,19500,50000.00,97696.00,3.20
AYUD-W1,2000,12400,7600.00,48948.00,0.34
B52,170600,81100,52796.00,23829.00,0.71
B52-W2,10000,0,200.00,0,0.01
BA,571500,296444,7024010.00,3630642.40,21.39
BAFS,4500,100,148300.00,3300.00,4.04
BANPU,4126500,3025600,66792180.00,48855540.00,24.98
BAY,7300,5300,270225.00,197125.00,1.97
BBL,1961100,1539600,403963073.05,316937400.00,44.01
BCH,2358800,1589200,36869690.00,24833950.00,13.94
BCP,271700,938100,8697250.00,29952325.00,30.07
BCPG,1316000,611400,19914170.00,9229140.00,7.24
BCT,2100,0,95525.00,0,37.50
BDMS,14561300,5860614,346337840.00,138797296.00,16.14
BEAUTY,8159400,1435000,53957625.00,9448115.00,10.53
BEC,1002000,1541300,5345850.00,8209145.00,3.54
BEM,16270900,15693500,160896945.00,154271240.00,15.86
BFIT,2100,4900,38900.00,90230.00,7.81
BGC,51900,0,560060.00,0,1.25
BGRIM,1165700,873000,31938025.00,24002675.00,23.32
BGT,10000,0,10000.00,0,0.86
BH,413600,67100,74789100.00,12097250.00,25.79
BIG,65300,242300,76701.00,287585.00,2.60
BIZ,5000,5000,11900.00,12200.00,0.21
BJC,2393000,763500,115004750.00,36722750.00,20.19
BKD,0,243100,0,777892.00,10.52
BKD-W2,2700,5909700,540.00,1209003.00,16.59
BLA,32700,176000,879400.00,4683100.00,9.94
BLAND,3947704,1255800,6060631.16,1937090.00,6.15
BPP,561500,79100,12393280.00,1743700.00,16.10
BR,500,115000,1980.00,452938.00,12.77
BROOK,0,124100,0,54604.00,6.02
BSM,25800,132800,15222.00,77080.00,0.47
