Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,11400,10300,28272.00,25746.00,3.41
2S-W1,300,1500,18.00,105.00,0.03
7UP,225100,1857000,105702.00,941985.00,0.64
AAV,730900,8046600,3116636.00,34349614.00,28.80
ABICO,10000,0,48000.00,0,9.98
ACAP,532000,108300,2137192.00,432620.00,2.83
ACAP-W2,929500,313000,499440.00,165760.00,1.09
ACC-W1,55000,0,2750.00,0,0.08
ADVANC,1898655,3035092,352499725.00,564375125.00,15.09
AEONTS,61801,42801,11166831.00,7729934.00,28.99
AF,30000,0,21600.00,0,3.74
AGE,5000,0,5100.00,0,1.01
AH,196500,246700,4446780.00,5588810.00,20.57
AIT,3000,2400,62700.00,50170.00,2.30
AKR,20000,0,17800.00,0,0.42
AMA,300,0,1380.00,0,0.01
AMANAH,195200,124200,336660.00,212680.00,4.39
AMARIN,0,500,0,2500.00,0.09
AMATA,3169400,1197300,69028780.00,26090770.00,9.05
AMATAV,0,33400,0,172535.00,3.28
ANAN,6969900,265380,26004750.00,986636.96,29.12
AOT,3962500,4242489,272530875.00,291645149.25,11.76
AP,4558800,1562324,32970730.00,11296498.00,21.79
APCO,400,0,1696.00,0,0.28
APCS,3000,700,14306.00,3360.00,0.18
APURE-W2,100000,156600,21000.00,31820.00,0.91
AQ,0,1000,0,30.00,0.00
AS,0,1,0,.63,0.00
ASAP,34200,79000,121000.00,279742.00,5.95
ASIA,0,17700,0,140065.00,8.83
ASIAN,193500,2294600,1654450.00,19564670.00,15.63
ASK,0,400,0,9760.00,0.16
ASP,140500,312600,474406.00,1054766.00,8.39
ATP30,0,40000,0,62600.00,20.51
ATP30-W1,0,2600,0,1560.00,0.56
AU,333200,8300,2706505.00,67580.00,9.39
AUCT,15400,3700,86930.00,20720.00,1.46
B,20000,14900,10000.00,7599.00,0.51
B52,7000,0,2830.00,0,0.07
BA,76400,62500,932590.00,762500.00,21.61
BAFS,3400,0,115375.00,0,0.78
