Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,0,200,0,820.00,0.06
7UP,1000100,1000,395039.00,390.00,5.42
7UP-W2,0,100,0,19.00,0.20
7UP-W3,100000,0,10000.00,0,4.72
AAV,317900,371200,1926470.00,2264320.00,20.46
ABICO,12100,44900,106785.00,403660.00,4.72
ACAP,0,100,0,1840.00,0.00
ACAP-W2,2000,7000,25200.00,87880.00,0.80
ACC,12500,206700,6550.00,113577.00,1.68
ADVANC,353600,617200,63674450.00,111069750.00,24.31
AEONTS,22300,30300,2260300.00,3048650.00,63.82
AH,38000,80000,942710.00,1991520.00,8.00
AIRA,0,34700,0,83280.00,50.00
AIT,2200,37700,59150.00,1011375.00,12.19
AJ,800,2700,11120.00,37330.00,0.37
AKP,71800,12700,201640.00,35644.00,0.17
AKR,60000,0,58200.00,0,1.61
ALT,1100,0,6210.00,0,0.07
AMA,500,100,8150.00,1630.00,0.05
AMANAH,2211200,515000,2256213.00,516250.00,1.43
AMATA,372300,993700,6513770.00,17405370.00,7.23
AMATAV,5700,2900,42495.00,21665.00,15.08
AMC,13600,1900,39984.00,5564.00,1.98
ANAN,309200,279800,1565210.00,1424725.00,15.98
AOT,2047400,5813351,107912875.00,306202437.50,16.42
AP,316200,207516,2438745.00,1597197.00,5.30
APCS,0,40100,0,278775.00,19.97
APEX,21600,0,8856.00,0,0.50
APURE,66700,148700,176808.00,396150.00,4.76
AQUA,699200,1618200,461467.00,1068977.00,12.34
ARIP,65200,400000,50881.00,315500.00,6.11
ARROW,11900,2500,164300.00,34500.00,1.00
AS,5800,52400,11716.00,106360.00,0.91
ASAP,1062900,332000,8136070.00,2471595.00,6.28
ASEFA,0,10000,0,71000.00,2.67
ASIAN,8700,828200,128770.00,12274020.00,5.13
ASIMAR,10000,300000,31200.00,930000.00,1.19
ASK,800,100,16560.00,2080.00,0.73
ASP,62200,0,221152.00,0,0.69
AS-W1,6500,26200,7628.00,30654.00,0.34
ATP30,12900,2700,21099.00,4536.00,0.06
ATP30-W1,5000,0,4200.00,0,0.01
AU,10000,0,76500.00,0,1.47
AUCT,117200,7300,739570.00,45635.00,7.13
AYUD,100,0,2925.00,0,0.04
B,0,1624500,0,97470.00,9.32
B52,35301,333800,22923.71,223672.00,0.25
B52-W1,100000,500000,12000.00,80000.00,0.13
B52-W2,0,9386000,0,469300.00,11.32
BA,39001,45401,704757.90,808727.70,0.87
BAFS,2400,13600,107725.00,607950.00,4.15
BANPU,3493900,3750442,59056530.00,63183957.80,6.46
BAY,20280,2300,740270.00,83600.00,4.86
BBL,481633,1062100,88312141.00,194299600.00,24.16
BCH,1967700,3307900,28582350.00,48168260.00,19.10
BCP,310700,158400,11796300.00,6009825.00,16.52
BCPG,1074500,1078300,16582910.00,16666410.00,15.26
BCT,100,800,4075.00,32800.00,1.19
BDMS,43153110,24860600,881801734.00,507439390.00,21.32
BEAUTY,8051600,4915300,110135880.00,67493200.00,29.48
BEC,330900,862900,5160550.00,13406130.00,9.49
BEM,17223205,21188902,133067618.75,163709721.15,15.04
BFIT,0,2500,0,43260.00,0.18
BGRIM,1263403,1078380,24168638.20,20618289.00,9.63
BGT,800,0,1216.00,0,0.06
BH,1824600,1112043,381929800.00,233365705.00,19.51
BIG,2759500,666500,8778472.00,2114306.00,5.67
BIGC,0,700,0,156100.00,2.57
BJC,92900,1851100,4134350.00,82700625.00,13.15
BJCHI,16000,1500,58240.00,5426.00,0.87
BKD,205900,0,687804.00,0,2.31
BKI,0,300,0,104400.00,6.76
BLA,108200,165400,4815050.00,7364275.00,8.34
BLAND,1517900,2745900,2705835.00,4899557.00,14.93
BLAND-W4,0,1000000,0,120000.00,11.58
BOL,214200,208900,461324.00,464074.00,0.69
BPP,1243500,2347740,32908100.00,62032070.00,10.68
BR,25900,67300,187775.00,490870.00,3.16
BROOK,112000,0,86240.00,0,2.26
BRR,0,10500,0,117360.00,1.59
BSM,0,270000,0,136700.00,2.23
BTS,5232800,3556269,44659875.00,30325101.45,21.03
BTS-W3,100400,210900,35138.00,71708.00,3.08
BWG,447100,316200,796023.00,565913.00,4.48
CBG,1170100,207600,78101425.00,13852300.00,16.47
CCET,141900,48700,465646.00,159372.00,10.11
CENTEL,354500,505400,14188125.00,20272750.00,18.48
CFRESH,2500,0,16500.00,0,3.96
CGD,178000,51700,179780.00,51927.00,2.16
CGH,0,4800,0,7104.00,0.09
CGH-W1,800000,22024714,32000.00,880988.42,18.14
CGH-W2,256000,322700,56200.00,63672.00,1.89
CHG,3924000,7293000,9250780.00,17311164.00,3.81
CHO,68400,17900,114994.00,30524.00,1.51
CIG,1900,0,969.00,0,0.21
CIG-W6,30000,0,1200.00,0,3.52
CIMBT,496600,104075,531362.00,111202.00,18.24
CK,458500,476000,12665375.00,13202875.00,26.00
CKP,2315800,226200,7632044.00,737940.00,7.33
CM,5000,7000,31500.00,44100.00,2.88
CMO,0,55000,0,105600.00,0.35
CMR,3000,3000,12420.00,12240.00,0.02
CNT,700,0,2562.00,0,2.32
COL,0,4000,0,208150.00,5.87
COM7,778700,1149700,9493540.00,14034940.00,11.83
COMAN,0,2400,0,14880.00,0.33
CPALL,958300,3183500,58426925.00,193562800.00,30.59
CPF,4575900,12252500,119089975.00,318684575.00,27.78
CPI,14500,0,28470.00,0,1.32
CPN,378100,1176200,25509825.00,79133150.00,14.71
CPR,700,300,4165.00,1770.00,0.36
CRANE,71000,17300,248036.00,60904.00,0.60
CSL,159600,0,955710.00,0,18.22
CSP,100,0,244.00,0,0.02
CSS,0,114800,0,342072.00,14.80
CTW,500,5000,5050.00,50500.00,13.61
CWT,36700,119000,119402.00,385624.00,0.76
DCC,100,88900,394.00,349826.00,22.83
DCORP,65000,21400,275960.00,90872.00,0.67
DELTA,180500,284863,15542800.00,24509143.00,22.85
DEMCO,12000,13100,68655.00,74770.00,2.25
DIMET,10000,0,25400.00,0,0.12
DIMET-W1,0,7000,0,15260.00,0.08
DRT,0,800,0,4720.00,0.32
DTAC,1995000,1736200,104935300.00,91658200.00,16.94
EA,771900,806100,26308325.00,27407619.75,19.98
EASON,100,500,366.00,1860.00,0.11
ECF,30000,121000,124200.00,501674.00,0.92
ECL,307500,42300,1109010.00,151740.00,2.68
ECL-W2,6400,4000,12608.00,7740.00,0.15
EE,6100,10000,6709.00,10972.00,0.19
EFORL,334800,0,36828.00,0,2.72
EGCO,98600,371800,22322000.00,84118500.00,37.66
EIC,0,382300,0,57345.00,3.51
EKH,5200,0,27560.00,0,0.09
EPCO,100,0,680.00,0,0.06
EPG,177100,345200,1885930.00,3690990.00,7.30
ERW,495200,142600,2928535.00,840375.00,4.27
ESSO,4561500,6048153,51770690.00,68547203.00,26.25
ETE,95000,30000,304400.00,95200.00,0.69
EVER,128300,27300,63317.00,13377.00,1.14
F&D,0,100,0,2020.00,25.00
FANCY,4500,19200,9990.00,43008.00,0.71
FC,755000,0,246600.00,0,9.68
FN,300,700,1266.00,2972.00,0.05
FNS,0,1000,0,4600.00,0.06
FORTH,0,56900,0,407380.00,12.83
FPI,0,7700,0,37422.00,1.02
FPT,4400,19600,64630.00,289140.00,6.87
FSMART,31900,6700,597920.00,126240.00,3.20
FSS,100,0,288.00,0,0.01
FTE,10000,0,33200.00,0,0.12
FVC,0,600,0,1660.00,0.02
FVC-W2,10600,346000,18126.00,603900.00,3.30
GC,31400,0,161710.00,0,2.97
GCAP,259600,641900,1276138.00,3159208.00,2.25
GEL,563500,687600,264494.00,323172.00,8.79
GENCO,13600,23400,14688.00,25077.00,0.25
GFPT,108100,38200,2106470.00,743140.00,29.19
GGC,91200,1000,1269690.00,13900.00,1.20
GJS,1361700,2830800,528268.00,1104385.00,16.36
GL,709400,1461318,13076420.00,26879793.00,9.59
GLAND,0,500000,0,1000400.00,27.59
GLOBAL,130200,844379,1718850.00,11110935.00,26.50
GLOW,528607,314700,44488591.50,26456725.00,20.97
GL-W4,8000,42020,36860.00,195170.80,0.90
GOLD,0,95300,0,697795.00,12.65
GPSC,219000,298100,8279275.00,11241375.00,10.73
GRAMMY,142800,83600,1878500.00,1062150.00,1.60
GREEN,0,8500,0,13345.00,1.20
GREEN-W4,300000,36000,205000.00,24480.00,3.35
GSTEL,608900,960000,169858.00,268800.00,28.70
GUNKUL,508400,552700,2041600.00,2222020.00,4.41
GUNKUL-W,2000,102000,560.00,28580.00,1.06
GYT,0,400,0,165800.00,33.33
HANA,398300,833700,17771275.00,37252650.00,13.64
HARN,1200,74900,3984.00,251054.00,4.83
HFT,15800,0,79790.00,0,1.24
HMPRO,4634500,5491276,45299670.00,53647936.65,26.78
HPT,66300,72300,70641.00,81308.00,1.17
HTECH,193700,15600,1791705.00,144300.00,1.26
HYDRO,60000,0,69000.00,0,4.03
ICHI,24800,26200,192300.00,202935.00,9.13
IFS,900,0,2898.00,0,0.05
IHL,85100,243200,939420.00,2685200.00,11.22
ILINK,2900,0,40020.00,0,0.41
INET,35400,824800,148814.00,3521204.00,6.48
INGRS,405000,74800,571800.00,105100.00,0.21
INOX,8700,228800,15225.00,398768.00,13.46
INTUCH,1858700,1543600,103189100.00,85653125.00,51.98
IRCP,25000,0,66000.00,0,3.34
IRPC,11683300,5980900,65816050.00,33586435.00,30.46
IT,187600,17300,976250.00,90470.00,4.62
ITD,961200,257800,3884634.00,1041640.00,5.65
ITEL,31900,80100,178640.00,449560.00,1.00
IVL,1491900,1063415,56687700.00,40362633.75,23.86
IVL-W2,64000,60000,180520.00,170400.00,1.74
J,72200,18200,175802.00,44044.00,0.89
JAS,2008200,2163700,15511052.00,16729817.00,11.56
JAS-W3,46200,0,184552.00,0,0.62
JCK,5500,7100,11330.00,14626.00,0.38
JMART,450000,91400,6500570.00,1323060.00,7.67
JMT,70500,38500,2143275.00,1175325.00,5.81
JSP,44900,3700,39962.00,3293.00,0.42
JTS,1200,700,2180.00,1260.00,0.33
JWD,465800,286300,4914850.00,3025950.00,3.20
KAMART,2900,27800,21705.00,208500.00,1.30
KASET,500,0,1300.00,0,0.04
KBANK,1647000,1490200,323135050.00,292372500.00,47.29
KBS,200,0,1340.00,0,0.07
KCE,294800,419900,25813025.00,36698850.00,10.63
KGI,234000,0,914692.00,0,5.02
KIAT,15800,0,9322.00,0,0.58
KKC,500,11000,1130.00,24886.00,13.07
KKP,268400,1631900,18609925.00,113262000.00,14.30
KOOL,2700,22800,7236.00,60658.00,0.69
KSL,85500,360780,374522.00,1580302.00,21.08
KTB,7312700,5031000,133816370.00,92030920.00,26.30
KTC,189400,60800,22032900.00,7082550.00,8.52
KWG,0,17000,0,61200.00,0.52
KYE,0,100,0,47400.00,2.77
L&E,0,83200,0,257920.00,22.81
LALIN,0,26000,0,114460.00,1.04
LEE,200,13100,624.00,40918.00,0.70
LH,3328320,2818000,32749962.00,27684395.00,30.68
LHFG,40100,121700,71779.00,216872.00,1.82
LHK,3100,0,13516.00,0,0.34
LIT-W1,0,150000,0,593400.00,8.70
LOXLEY,0,116300,0,369834.00,7.80
LOXLEY-W,150000,0,16500.00,0,1.50
LPN,61800,135600,667590.00,1462050.00,4.14
LST,6200,17700,45305.00,130095.00,3.07
M,300,500,18375.00,30500.00,0.23
MACO,3105500,60100,5652915.00,110284.00,0.78
MACO-W1,98400,0,15744.00,0,0.08
MAJOR,41300,76300,1272200.00,2344850.00,10.73
MAKRO,10700,2500,363800.00,85000.00,9.26
MALEE,428800,184100,15914775.00,6821625.00,9.06
MAX,5992400,625300,179774.00,22360.00,22.07
MBAX,38300,10200,194330.00,52020.00,2.25
MBK,0,27100,0,409210.00,1.11
MC,160400,135500,2186380.00,1844250.00,6.49
MCS,98000,95600,1496040.00,1458620.00,5.14
MEGA,924900,1444900,28580150.00,44567500.00,8.77
META,1000,26000,2100.00,54600.00,0.33
META-W2,200000,0,88000.00,0,2.38
MGT,27700,7500,89636.00,24292.00,1.58
MIDA,2200,200,1496.00,136.00,0.30
MILL,15100,26000,24462.00,42022.00,1.12
MILL-W4,100,0,51.00,0,0.00
MINT,4607400,4097700,178723925.00,158712825.00,18.75
MINT-W5,167400,1528800,505898.00,4580326.00,7.11
MK,13000,1400,48360.00,5208.00,2.58
ML,5300,1000,8921.00,1680.00,0.17
MM,10000,0,46400.00,0,3.29
MODERN,500,0,2390.00,0,0.05
MONO,0,19400,0,68076.00,0.15
MOONG,0,300,0,1980.00,0.17
MORE,350000,673800,339620.00,674575.00,1.95
MORE-W1,310000,72400,670400.00,160152.00,0.66
MPG,564300,1426500,433281.00,1112870.00,1.53
MPG-W1,400400,1454967,112584.00,420545.42,0.76
MPIC,2400,10800,3814.00,16860.00,0.21
MTC,466800,1564800,15148425.00,50806900.00,6.82
MTI,100,0,13200.00,0,0.81
NBC-W1,20000,100000,14500.00,72000.00,0.43
NCH,300000,0,348700.00,0,25.73
NCL,28600,216800,62892.00,472552.00,1.19
NCL-W2,95000,127400,116850.00,146414.00,0.19
NDR-W1,40000,0,34800.00,0,0.46
