Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,0,400,0,934.00,0.03
7UP,1400,200,364.00,52.00,0.09
AAV,374600,348200,1595702.00,1483242.00,18.72
ACAP,4800,4200,18926.00,16464.00,0.98
ADVANC,1208073,941117,230130642.00,179199371.50,30.35
AEONTS,125700,54700,23090850.00,10086000.00,18.06
AGE,5400,0,4752.00,0,0.45
AH,97700,31000,1977880.00,626300.00,13.13
AIRA,0,200,0,288.00,2.04
AIT,0,10700,0,225770.00,18.20
AJA,0,200,0,42.00,0.00
AJA-W1,4500,0,405.00,0,0.21
AKR,0,50000,0,40000.00,1.17
ALLA,393800,22100,627294.00,34918.00,3.49
ALT-W1,1500,51500,780.00,26765.00,13.86
AMA,10000,200,42800.00,860.00,2.53
AMANAH,0,50600,0,84812.00,2.25
AMATA,2984800,3014900,66840500.00,67795380.00,13.44
AMATAV,20,0,101.00,0,0.04
AMC,447000,0,791190.00,0,30.33
ANAN,1572500,210000,6289440.00,841128.00,10.60
AOT,4604510,1597157,315265435.00,109369458.50,18.22
AP,3558500,2131400,28182385.00,16820965.00,18.51
ARROW,6000,70000,56500.00,658000.00,24.45
ASAP,11700,20500,34632.00,60662.00,2.95
ASIAN,5600,44400,43710.00,346745.00,2.38
ASIMAR,2900,0,5800.00,0,2.35
ASK,3700,0,87320.00,0,1.97
ASN,100,0,374.00,0,2.94
ASP,82000,126200,250920.00,386716.00,8.78
AU,60900,91500,538170.00,811760.00,7.13
AUCT,2100,50000,14490.00,345860.00,1.19
AYUD,0,600,0,26250.00,0.74
AYUD-W1,1400,0,6972.00,0,0.07
B,68067,151000,43731.22,95145.00,1.25
BA,14400,49600,169920.00,585280.00,16.79
BAFS,60806,2800,2202667.50,101500.00,4.73
BANPU,7865105,5288400,129516582.50,86981190.00,24.74
BAY,98600,30800,3816700.00,1186975.00,20.78
BBL,2281400,1967100,464871100.00,400585800.00,49.99
BCH,720510,1223300,13105512.00,22258540.00,10.80
BCP,778700,30600,25365250.00,994500.00,23.17
BCPG,213200,227918,3866870.00,4130764.00,7.00
BCT,5500,1000,250250.00,45750.00,23.21
BDMS,9497030,10549567,243723577.50,269518033.50,28.40
BEAUTY,2000600,2566500,13893015.00,17806010.00,7.19
BEC,1799906,1603400,16414154.90,14635090.00,9.54
BEM,10903722,11249600,118822086.40,122564870.00,21.67
BFIT,110,0,1969.00,0,0.07
BGC,0,18100,0,219010.00,0.52
BGRIM,2227800,2212400,74437125.00,74060200.00,7.06
BGT,0,20000,0,21200.00,1.98
BH,453407,290500,80372192.50,51455950.00,35.85
BIG,43200,199300,53056.00,245139.00,2.43
BIZ,10100,24800,27272.00,67550.00,13.94
BJC,1538800,587625,78859875.00,30142306.25,32.03
BJCHI,0,2392,0,5163.20,0.10
BKI,0,600,0,194400.00,7.32
BLA,173400,517300,4918850.00,14619875.00,49.51
BLAND,1113400,1620900,1756192.00,2547299.00,6.07
BPP,423405,268100,9656024.50,6113670.00,5.37
BR,107300,14800,400682.00,55352.00,5.10
BROOK,378700,3900,174202.00,1794.00,4.31
BSBM,3996000,0,3676320.00,0,49.99
BTS,29373700,35590300,343577350.00,415767320.00,62.35
BTS-W4,306000,167500,339480.00,187250.00,0.19
B-W4,76251,5500,12196.52,880.00,0.41
BWG,200000,200000,218000.00,218003.00,3.50
CAZ,73800,102800,179032.00,245600.00,1.22
CBG,933500,2832900,54812300.00,167702900.00,14.48
CCET,26600,113741,50540.00,216088.08,16.06
CEN,1200,100000,1236.00,103000.00,9.13
