Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,1300,35500,11295.00,303410.00,0.49
7UP,138900,5583600,121626.00,5014796.00,4.76
AAV,1174700,3564300,7622695.00,23143275.00,9.66
ABICO,500,400,6750.00,5400.00,0.07
ACAP,280200,13200,5398570.00,261410.00,3.15
ACAP-W1,0,5500,0,91600.00,8.73
ADVANC,735433,1273000,114534848.00,198171100.00,26.72
AEC-W2,5000,0,200.00,0,0.07
AEONTS,2201,0,220101.00,0,2.74
AGE,6900,24700,10760.00,38372.00,0.47
AH,69700,500,1063790.00,7600.00,11.99
AIRA,0,70000,0,175000.00,16.30
AIT,1200,0,30900.00,0,0.29
AJ,74600,0,954880.00,0,4.53
AJA,25500,2049800,47465.00,3822628.00,2.55
AKP,68700,68700,179974.00,176498.00,3.28
AKR,20000,0,23400.00,0,0.52
ALLA,253100,250000,779424.00,770000.00,3.95
ALT,502600,882900,4761670.00,8334310.00,1.20
AMA,0,8000,0,181100.00,0.20
AMARIN,2800,2400,20160.00,17305.00,1.07
AMATA,8109200,2387599,119927990.00,34859055.00,16.01
AMATAV,14700,11200,104220.00,79600.00,2.88
AMC,553900,116000,2306938.00,484400.00,7.17
ANAN,1987700,1709914,10282740.00,8863050.15,9.18
AOT,763800,500442,301026700.00,197132696.00,23.12
AP,369300,270200,2722460.00,1996000.00,7.16
APCO,0,16200,0,26386.00,0.41
APCS,380000,64800,3097750.00,514305.00,0.95
APURE,2134200,4655600,5591712.00,12210110.00,6.31
AQUA,320700,90400,272595.00,76840.00,1.35
ARIP,0,412900,0,313806.00,19.10
ARROW,78500,101900,1366900.00,1781650.00,3.15
AS,128000,118000,351800.00,330768.00,2.21
ASEFA,1860300,1294700,16295725.00,11373450.00,3.91
ASIAN,32200,5100,143092.00,22948.00,1.66
ASIMAR,51500,0,154470.00,0,1.11
ASK,1700,3100,39500.00,72220.00,0.73
ASP,172000,106100,635264.00,392570.00,0.48
ATP30,74500,268200,145614.00,531026.00,0.29
AU,0,5000,0,60500.00,0.20
AUCT,61300,1700,609675.00,16830.00,1.57
B,2622300,2422300,211784.00,193784.00,24.10
B52,29000,0,10150.00,0,0.48
BA,483300,387400,10785950.00,8638850.00,8.77
BAFS,0,5300,0,194775.00,1.17
BANPU,1030800,3992013,19986180.00,77214400.90,7.77
BAY,50100,46300,1978950.00,1820625.00,25.38
BBL,0,671479,0,112646885.00,8.38
BCH,2312100,3636800,36581090.00,57553830.00,20.33
BCP,1382600,1478700,48188050.00,51632450.00,13.48
BCPG,165207,464800,2279855.90,6393990.00,7.19
BCT,200,0,5600.00,0,0.98
BDMS,8688002,7485200,194296984.60,167384535.20,31.54
BEAUTY,1519300,2858400,17924000.00,33776930.00,16.32
BEC,594900,267000,10736310.00,4804530.00,17.45
BEM,5139788,4459407,38054391.10,33013796.80,13.10
BH,349101,462200,62605232.00,82849835.50,31.79
BIG,140600,244700,777780.00,1348625.00,3.12
BIZ,519600,15800,2830560.00,84530.00,3.61
BJC,417900,292861,20410200.00,14242306.75,17.58
BJCHI,207000,1300,1089950.00,6825.00,5.64
BKD,0,57400,0,188272.00,0.83
BKI,1400,0,490200.00,0,5.15
BLA,520500,507340,25627925.00,24952678.00,29.08
BLAND,15708700,17252500,29273572.00,32108939.00,5.83
BLAND-W4,1200000,1000000,348000.00,280000.00,2.70
BPP,132602,155064,3260168.80,3799721.60,4.73
BR,92200,141700,600025.00,929715.00,3.30
BROCK-W1,15000,0,4950.00,0,0.29
BROOK,936800,675800,863621.00,609320.00,1.34
BRR,418000,60200,6727160.00,964840.00,8.66
BSBM,78900,43700,122982.00,68155.00,1.08
BSM,100100,10000,43044.00,4300.00,0.96
BTS,2446200,3901700,20698850.00,32992590.00,12.68
BTS-W3,13600,198600,8976.00,133062.00,1.88
BTW,4600,0,16192.00,0,0.09
BWG,2339800,1824000,5079774.00,3949340.00,4.80
CBG,307700,559600,23651700.00,43059175.00,11.68
CCET,523000,6500,1475278.00,18330.00,11.21
CCP,600000,120000,426000.00,85200.00,11.43
CEN,0,12500,0,25250.00,0.39
CENTEL,288600,111400,10705500.00,4126475.00,25.41
CEN-W4,150000,10700,64500.00,4601.00,0.60
CGD,35300,161700,38541.00,176597.00,0.45
CHEWA,0,75000,0,114750.00,0.58
CHG,10410600,8851400,29959694.00,25427932.00,12.15
CHO,75500,110300,141592.00,205954.00,1.16
CHOW,8800,14500,57530.00,92960.00,0.82
CI,8300,21100,17812.00,44884.00,0.82
CIMBT,138100,17000,184595.00,22440.00,0.59
CK,348700,773221,10335975.00,22889619.50,20.75
CKP,4351700,3751900,15482226.00,13352540.00,14.55
CM,329400,452200,1873440.00,2584170.00,1.08
CMR,140400,770300,665072.00,3665866.00,13.86
CNT,350600,54800,1500548.00,236064.00,6.40
COM7,61900,84400,802360.00,1092210.00,2.12
COMAN,8000,0,81600.00,0,0.48
CPALL,3123185,7449400,185610729.25,442045300.00,16.55
CPF,7050000,4540000,201087925.00,129323668.25,32.34
CPI,20000,0,50800.00,0,0.31
CPN,867700,2037000,48232650.00,113250100.00,36.25
CPR,91700,63300,726355.00,492660.00,0.40
CRANE,0,1100,0,2992.00,0.07
CSL,0,800,0,4920.00,0.15
CSS,0,64000,0,197120.00,0.77
CTW,3700,1000,41510.00,11300.00,0.51
CWT,60000,0,229800.00,0,2.92
DCC,105400,49200,483720.00,225372.00,9.23
DCON,1448200,820100,926848.00,530641.00,17.04
DCORP,1600,40200,17270.00,429960.00,1.74
DELTA,125400,259500,10509750.00,21758250.00,27.21
DEMCO,232600,185800,1971085.00,1574455.00,4.78
DIMET,39200,15200,113328.00,43472.00,0.51
DRT,40000,40400,228000.00,228455.00,2.42
DSGT,0,46000,0,229080.00,5.99
DTAC,4312900,2961100,192198550.00,132619475.00,12.15
DTC,32500,77000,330550.00,781400.00,6.49
DTCI,400,0,10800.00,0,0.39
EA,546100,535200,15616500.00,15299975.00,27.14
EARTH,10000,184700,45400.00,840648.00,2.16
EASON,529000,628900,2401040.00,2845738.00,1.50
EASON-W2,0,3000,0,10320.00,0.38
