Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,11700,24500,98080.00,204055.00,0.21
7UP,633200,166300,405728.00,107863.00,3.85
7UP-W1,0,12500,0,2250.00,0.45
AAV,111600,445800,690170.00,2758860.00,2.51
ABICO,6700,0,69680.00,0,0.91
ACAP,67200,353200,1662350.00,8746950.00,6.98
ACC,0,60000,0,37200.00,0.48
ADVANC,4273386,1003700,750596500.00,176209800.00,28.10
AF,200000,0,116000.00,0,10.78
AGE,60800,0,99148.00,0,1.86
AH,146500,0,2495660.00,0,7.32
AIT,28400,0,810975.00,0,4.26
AJ,209600,12000,3308960.00,189600.00,12.09
AJA,75021200,194663800,111441523.00,295717592.00,13.52
AJA-W1,31000,0,29950.00,0,0.17
AKP,400,200,934.00,464.00,0.30
AKR,0,1000,0,1130.00,0.09
ALT,900,3300,7760.00,28270.00,0.14
AMA,0,2200,0,48400.00,0.09
AMANAH,5800,38000,11194.00,73480.00,0.36
AMATA,663100,824900,10473760.00,13031450.00,23.09
AMATAV,25700,8600,188745.00,63390.00,4.75
AMC,121100,124500,499020.00,512480.00,1.59
ANAN,1430100,2852000,7190693.00,14264189.00,28.26
AOT,6696483,5511062,261404830.50,215212718.00,26.22
AP,2527676,4859900,17707624.80,34135960.00,10.28
APCO,241400,40400,367217.00,61580.00,5.81
APCS,0,96600,0,675460.00,11.60
APURE,188100,253600,443788.00,607360.00,1.44
AQUA,1374300,1341200,1052781.00,1035954.00,10.40
ARROW,4800,40600,82890.00,702320.00,5.68
AS,19600,23200,42336.00,49648.00,0.48
ASEFA,34100,120800,274735.00,969105.00,10.36
ASIAN,34700,121100,179085.00,625535.00,2.49
ASIMAR,13100,0,37988.00,0,1.35
ASK,27500,59700,563720.00,1221180.00,10.85
ASN,1000,0,6550.00,0,0.46
ASP,254000,100,891642.00,350.00,4.64
ATP30,100,16100,195.00,31363.00,0.29
AU,3000,229200,30100.00,2260070.00,0.69
AUCT,47400,40000,424925.00,358000.00,2.28
AYUD,12000,700,390000.00,22750.00,9.39
B,2880600,3248500,228284.00,259880.00,48.30
B52,312400,0,62879.00,0,1.13
B52-W2,2010000,0,100500.00,0,15.41
BA,4862900,4887082,97175670.00,97508920.00,56.81
BAFS,2500,900,93075.00,33300.00,0.15
BANPU,3207560,6426802,62285790.00,125203978.80,17.60
BAT-3K,0,300,0,48600.00,0.31
BAY,100,26392,3925.00,1030161.00,4.82
BBL,0,132000,0,24392150.00,2.97
BCH,1401600,1111300,18217600.00,14380610.00,19.28
BCP,2113100,2041026,69613000.00,67260748.50,36.02
BCPG,93600,129979,1181570.00,1637885.90,0.97
BCT,100,0,3200.00,0,0.41
BDMS,9145978,7636652,184264019.00,153701620.00,31.70
BEAUTY,5735300,14681592,62927060.00,161303522.80,21.99
BEC,414218,996272,6275282.60,15070990.20,21.25
BEM,37572800,37676800,274224055.00,274347410.00,16.80
BGT,266000,180500,519567.00,352457.00,1.27
BH,199741,273804,35975846.50,49196860.00,32.37
BIG,1622300,3657500,8503325.00,19203765.00,17.69
BIGC,100,0,20000.00,0,7.91
BIZ,1000,70400,4660.00,329064.00,4.20
BJC,2850967,662054,134542424.25,31258811.00,12.58
BJCHI,43100,131700,202902.00,618936.00,10.34
BKD,10300,0,32976.00,0,1.04
BLA,372249,344634,19261814.75,17801036.50,40.08
BLAND,12387345,4494200,22389364.15,8111906.00,14.92
BPP,821003,119400,20347424.10,2955880.00,17.23
BR,119500,291000,798535.00,1947590.00,9.37
BROCK-W1,50000,118800,15500.00,38392.00,0.66
BROOK,2130500,0,1859194.00,0,7.88
BRR,32000,49831,454620.00,707640.20,7.99
BSBM,41600,63800,60520.00,92922.00,0.74
BSM,200000,203000,84000.00,87260.00,5.19
BSM-W2,0,50000,0,6500.00,0.44
BTS,4905967,3569700,40463423.85,29438900.00,14.54
BTS-W3,0,45100,0,25557.00,0.67
BWG,3321400,693390,7094722.00,1477125.60,8.05
BWG-W4,30400,100000,12768.00,42000.00,0.49
CBG,206900,285169,11687375.00,16100706.25,8.43
CCET,981600,0,2905310.00,0,18.59
CENTEL,580704,433200,20406069.00,15194700.00,24.70
CGH,0,100,0,153.00,0.01
CHG,4326300,2040100,10664354.00,5056462.00,8.93
CHO,11100,0,18645.00,0,0.89
CHOTI,200,0,47200.00,0,1.47
CHOW,4200,900,24230.00,5245.00,0.42
CI,536600,10000,1002076.00,18700.00,5.41
CIG,0,30000,0,21000.00,0.94
CIMBT,7900,46400,10374.00,61280.00,1.66
CK,1210469,982700,33115832.00,26797325.00,19.05
CKP,1659800,111600,5344554.00,358350.00,11.92
CM,17100,0,86355.00,0,1.30
CNS,0,406400,0,959104.00,46.91
CNT,92000,0,395600.00,0,38.27
COM7,500900,488600,5545750.00,5443260.00,4.41
COMAN,2600,0,25060.00,0,0.15
CPALL,2030286,2811700,119821374.00,165747315.00,17.88
CPF,12960994,5986047,359430001.25,165428967.50,37.86
CPI,1200,0,2712.00,0,0.81
CPN,2127264,3903769,120919262.25,222073593.76,42.91
CPR,21800,16200,142860.00,105720.00,1.11
CRANE,2500,0,6200.00,0,0.58
CSP,1900,0,4092.00,0,0.22
CSS,7000,31400,21840.00,97616.00,0.42
CTW,300,0,3330.00,0,0.23
CWT,14000,285200,49280.00,976584.00,1.65
DCC,487500,776100,2035700.00,3266828.00,8.00
DCON,1515800,1460800,876932.00,846746.00,10.36
DCON-W1,500,0,1940.00,0,0.28
DCORP,0,900,0,6390.00,0.10
DELTA,651938,465200,54331652.50,38736775.00,29.38
DEMCO,6300,240800,41325.00,1579075.00,2.80
DIMET,11000,18300,33232.00,55116.00,0.58
DRT,10000,22200,61300.00,136810.00,2.90
DTAC,1324005,692100,55279733.75,28816425.00,22.83
EA,642400,1360200,17063050.00,36023475.00,12.98
EARTH,4700,0,21338.00,0,0.82
