Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,500,1100,1162.00,2596.00,0.32
2S-W1,1400,11700,29.00,236.00,0.73
7UP,3200,1000,1248.00,387.00,0.16
AAV,256000,832200,1020396.00,3317940.00,18.57
ABM,600,0,522.00,0,2.22
ACAP,56600,33500,147934.00,87100.00,6.36
ACAP-W2,30100,0,4820.00,0,0.27
ADB,17400,0,15138.00,0,16.73
ADVANC,1650760,438800,281571360.00,74863950.00,25.23
AEONTS,404100,48600,69332100.00,8316700.00,32.69
AH,121500,24400,2299970.00,461820.00,15.06
AIT,3900,1200,78390.00,24120.00,2.75
AJ,5000,0,40000.00,0,2.30
AJA,370000,2085450,99900.00,559684.50,1.62
AJA-W1,100000,10000,12000.00,1395.00,0.22
AKP,1800,700,3349.00,1304.00,1.59
ALT-W1,0,800,0,552.00,0.24
AMANAH,30700,50900,47949.00,79825.00,3.21
AMATA,2648800,4283100,54474410.00,87591140.00,15.64
AMATAV,0,31200,0,137904.00,14.83
ANAN,3433200,2706600,11010550.00,8667212.00,24.93
AOT,4736870,6704111,322813195.00,458117023.00,16.14
AP,5882400,2686600,39822770.00,18127160.00,23.48
APCS,100,0,480.00,0,0.09
AQ,0,1105700,0,33171.00,21.08
ARIP,100000,11100,43000.00,4995.00,3.39
ARROW,17300,0,134075.00,0,37.61
ASAP,13100,29000,42108.00,91652.00,2.81
ASEFA,0,94,0,444.56,0.14
ASIAN,66100,63100,538725.00,515335.00,2.55
ASP,128500,94200,405160.00,297694.00,17.92
ATP30,0,4900,0,7448.00,2.16
AU,70500,12300,514165.00,91020.00,6.66
AUCT,26700,0,134790.00,0,3.76
AYUD,0,4,0,170.00,0.14
AYUD-W1,0,3500,0,13330.00,0.37
B52,117000,311600,43290.00,112910.00,0.66
B52-W2,10000,0,200.00,0,0.26
BA,445800,190300,5583280.00,2374650.00,14.39
BAFS,14500,900,478575.00,29775.00,9.76
BANPU,10183900,4954960,168136430.00,81594796.00,17.95
BAT-3K,200,0,47600.00,0,50.00
BAY,20200,6500,755875.00,242125.00,12.62
BBL,1835210,1686700,375453361.49,345979600.00,34.06
BCH,2730800,1454000,42137920.00,22435650.00,24.35
BCP,2584940,149700,82369700.00,4818425.00,38.32
BCPG,551800,274200,8377120.00,4167240.00,14.13
BCT,9200,0,418600.00,0,50.00
BDMS,12039060,10567000,283750832.00,249381700.00,27.15
BEAUTY,3507300,1728218,23686650.00,11659076.50,3.99
BEC,1274100,409100,6707240.00,2156025.00,10.04
BEM,11565187,4597200,114702625.65,45577065.00,17.17
BFIT,4500,6200,85050.00,116800.00,14.94
BGC,12200,6000,135080.00,67100.00,0.12
BGRIM,303100,625200,8411025.00,17342150.00,21.74
BH,269260,320100,48516430.00,57575200.00,32.71
BIG,93700,20500,111843.00,24250.00,1.07
BJC,3606305,4204300,167211963.75,197012375.00,22.62
BKD-W2,0,1255900,0,263739.00,21.00
BLA,204005,163300,5382332.50,4291175.00,16.69
BLAND,5490800,1736200,8456019.00,2678578.00,30.90
BM,0,248800,0,727358.00,42.39
BPP,360010,107550,7967500.00,2382225.00,12.40
BR,30100,0,118580.00,0,2.71
BROCK,20000,0,40000.00,0,45.45
BSBM,0,500,0,475.00,0.10
BSM,0,15800,0,9322.00,0.30
BTS,6604293,2023900,63597317.80,19463760.00,11.02
BTS-W4,72300,11533,25335.00,4144.22,0.13
BWG,221051,50400,234314.06,53424.00,4.82
CBG,118700,111100,3824675.00,3588500.00,13.29
CCET,3400,24200,5747.00,40822.00,20.06
CCP,55500,50000,20035.00,18500.00,0.31
CEN,6400,2400,6282.00,2376.00,1.57
CENTEL,331000,2121100,12748325.00,81672475.00,39.35
CFRESH,50000,0,204000.00,0,17.43
CGD,30000,35100,40200.00,46631.00,0.96
CHAYO,17000,17700,64940.00,67400.00,4.98
CHG,2136000,1769500,3889766.00,3216318.00,22.86
CHO,291500,228500,409615.00,322758.00,1.46
CHOW,38100,20099,101528.00,54657.40,0.30
CIG,1000,0,320.00,0,0.04
CIMBT,0,5000,0,3950.00,0.43
CK,844820,507600,20726244.00,12431310.00,12.88
CKP,15438700,10252700,70105770.00,46677826.00,5.98
CKP-W1,466300,182800,203509.00,81912.00,1.84
CNT,1100,500,2156.00,995.00,0.33
COL,10800,400,236290.00,8720.00,2.61
