Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,64400,16800,260910.00,68168.00,2.44
2S-W1,45500,34300,53284.00,39358.00,0.24
7UP,0,2000,0,845.00,0.02
7UP-W2,0,2000,0,380.00,47.62
AAV,126700,0,779205.00,0,1.45
ABICO,100,3300,870.00,28545.00,2.51
ACAP,5400,0,104220.00,0,0.11
ACAP-W2,5900,13000,78410.00,172600.00,1.16
ACC,50800,0,26424.00,0,2.53
ADVANC,599320,564550,107234230.00,100953920.00,20.01
AEC,1500,0,840.00,0,0.04
AEC-W4,0,100000,0,17000.00,6.07
AEONTS,0,100,0,10100.00,2.63
AF,0,7700,0,5390.00,0.37
AH,166700,15300,4333825.00,394575.00,7.93
AIRA,0,400,0,968.00,1.16
AIT,0,40700,0,1139600.00,7.40
AJ,25000,2000,348100.00,28050.00,0.58
AKP,0,5200,0,12584.00,0.19
AMA,100,0,1660.00,0,0.00
AMANAH,521500,142000,653230.00,173190.00,1.98
AMARIN,33800,19200,209610.00,115150.00,1.32
AMATA,317000,275900,5266120.00,4549500.00,4.77
AMATAV,30200,7400,224275.00,54855.00,12.43
AMC,82700,0,264290.00,0,0.60
ANAN,1450000,772300,7378310.00,3918270.00,7.68
AOT,3590303,5519237,187728206.00,288794146.00,16.84
AP,1102900,1285600,8320540.00,9688680.00,12.60
APCS,12500,653500,88880.00,4569540.00,20.26
APEX,51700,3500,21197.00,1435.00,0.63
APURE,1137900,588800,3093606.00,1597314.00,6.27
AQUA,536800,561500,354286.00,374394.00,11.90
ARIP,0,40200,0,34974.00,0.50
ARROW,3900,302900,56940.00,4426100.00,38.24
AS,73600,600,152032.00,1300.00,1.25
ASAP,440800,357100,3581545.00,2898500.00,18.31
ASEFA,0,5100,0,36465.00,1.12
ASIAN,191700,440900,2697190.00,6173160.00,3.14
ASIMAR,0,13000,0,33280.00,1.66
ASK,33200,10900,693730.00,227180.00,4.30
ASP,116300,431600,424064.00,1579656.00,14.69
AS-W1,7000,0,7995.00,0,0.12
ATP30,30000,200,47400.00,316.00,1.42
ATP30-W1,453000,0,383580.00,0,2.20
AU,0,9000,0,68850.00,0.24
