Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
KGI,94000,91700,410618.00,403312.00,1.76
KIAT,25800,0,12126.00,0,2.08
KKP,692949,2135662,52908023.50,162981927.50,29.80
KOOL,162410,170600,311242.90,326926.00,0.85
KSL,79400,126800,255310.00,407960.00,19.51
KTB,3603400,2172800,70159890.00,42208550.00,30.05
KTC,1921000,2329500,56566325.00,68428300.00,21.08
KWG,10000,101900,22000.00,224180.00,11.90
KYE,0,2400,0,923400.00,0.77
LALIN,1000,0,6150.00,0,0.14
LANNA,6300,18400,99540.00,290700.00,31.27
LEE,2200,0,6028.00,0,0.35
LH,12994833,7270300,149452999.50,83607640.00,28.44
LHFG,3511000,68600,5601349.00,109516.00,19.79
LIT,500,0,4300.00,0,0.15
LOXLEY,50000,28000,110000.00,61812.00,12.35
LPH,11000,31500,69850.00,199710.00,3.20
LPN,355000,1184600,3544080.00,11811095.00,29.20
LST,4400,400,21384.00,1950.00,2.96
M,15200,35101,1086025.00,2505572.00,11.57
MACO,393100,86000,750070.00,164515.00,4.13
MAJOR,389500,99100,9537080.00,2425170.00,16.74
MAKRO,54100,34500,1882850.00,1202900.00,5.51
MALEE,44400,99200,610500.00,1363450.00,7.92
MAX,816500,3942400,16330.00,118272.00,12.29
MBK,743300,212600,18817900.00,5368150.00,31.03
MBKET,4400,10600,55440.00,133080.00,8.95
MC,201306,53000,2615878.00,685630.00,2.66
MCS,7400,16911,56585.00,129362.50,5.87
MDX,0,1,0,4.72,0.00
MEGA,122300,255300,4320775.00,9010125.00,20.40
META,162400,1289900,343352.00,2723194.00,4.66
MFC,8200,2900,132020.00,46980.00,10.92
MGT,54000,33800,114480.00,71656.00,14.35
MILL,251000,184200,409395.00,301354.00,29.32
MINT,3523109,2688845,135192369.25,103564882.50,20.78
MK,323000,0,1328750.00,0,16.18
MODERN,500,0,2260.00,0,0.17
MONO,276100,272900,596380.00,589464.00,8.47
MOONG,4900,40700,31655.00,266210.00,0.56
MORE,61300,6800,36279.00,3944.00,0.28
MPIC,0,59000,0,86806.00,28.61
MTC,615400,459600,25648175.00,19192800.00,18.48
MVP,10000,0,28000.00,0,0.13
NCL,10700,0,17334.00,0,0.04
NCL-W3,1000,1000,530.00,550.00,0.00
NETBAY,300,9700,9975.00,322525.00,21.93
NEWS,4638600,4638600,46386.00,46386.00,5.75
NEX,1000,40000,3840.00,149600.00,1.52
NFC,0,200,0,2300.00,0.39
NINE,423300,1270500,1123430.00,3468500.00,1.79
NNCL,0,60000,0,106800.00,0.46
NOBLE,0,201200,0,2474760.00,46.92
NPPG,30900,0,32754.00,0,0.34
NTV,1200,2000,71850.00,120000.00,0.87
NUSA,600,0,180.00,0,0.00
NVD,0,70000,0,269260.00,5.15
NWR,181300,2027600,157731.00,1764012.00,25.27
NYT,21700,204100,112445.00,1057850.00,9.86
OCEAN,180100,246700,335838.00,453323.00,2.10
ORI,192200,166200,3590090.00,3095010.00,8.27
PACE,19790521,34944516,13945298.21,24483351.04,7.68
