Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,0,4000,0,9120.00,0.95
2S-W1,500,0,5.00,0,0.00
7UP,600,0,168.00,0,0.02
AAV,3220200,1127200,13768564.00,4851540.00,15.27
ACAP,5700,68700,22330.00,269442.00,9.08
ACAP-W2,150000,0,3000.00,0,1.86
ADB,12000,0,11040.00,0,0.96
ADVANC,1067782,630100,201997117.00,119203150.00,24.99
AEONTS,37400,40731,6798550.00,7401614.00,21.39
AGE,35600,0,31984.00,0,12.92
AH,60400,99500,1210420.00,1991020.00,19.46
AIT,14900,13000,320590.00,279500.00,14.08
AJ,0,4000,0,40400.00,1.99
AJA,102400,70000,22528.00,16100.00,0.20
AJA-W1,317000,80000,34870.00,8300.00,1.23
ALLA,5700,246500,9715.00,411296.00,1.78
AMA,600,0,2616.00,0,0.34
AMANAH,0,15800,0,26702.00,1.10
AMATA,721604,991900,16134060.00,22145340.00,10.77
ANAN,281000,204600,1137688.00,828812.00,6.57
AOT,3043350,2403676,209056562.50,164968168.00,23.95
AP,1161001,1125200,9328553.15,9001200.00,27.72
APCO,0,100,0,418.00,0.01
APCS,400,0,1928.00,0,2.22
AQ,1965100,0,39302.00,0,13.29
AQUA,3615600,364800,2052704.00,203925.00,5.89
ARROW,300,0,2850.00,0,0.15
AS,6300,0,5980.00,0,17.03
ASAP,51300,656100,147462.00,1913398.00,5.68
ASEFA,0,1000,0,5500.00,0.10
ASIAN,7300,55300,57120.00,432575.00,4.35
ASIMAR,0,30000,0,59100.00,7.11
ASK,9456,3555,222184.80,83327.00,9.11
ASP,69700,201400,214740.00,620312.00,8.24
ATP30,0,132100,0,185861.00,23.02
ATP30-W1,300000,0,145700.00,0,18.67
AU,478700,2441450,4265435.00,21888987.00,13.86
AUCT,38800,94200,260730.00,628345.00,1.13
AYUD,3100,6000,129800.00,260525.00,0.78
B,33,0,17.16,0,0.00
BA,44300,37500,527070.00,444930.00,24.26
BAFS,16324,19800,598519.00,723175.00,5.56
BANPU,4844393,3597400,79494268.40,58956840.00,32.30
BAY,82900,8100,3167125.00,308850.00,15.17
BBL,287600,2031100,59473600.00,418562000.00,35.15
BCH,1381700,2679900,24670930.00,47758920.00,28.71
BCP,716650,413500,24059512.50,13840225.00,12.95
BCPG,197600,233700,3526540.00,4176260.00,2.89
BCT,0,100,0,4775.00,1.67
BDMS,11172832,10147200,281631249.00,254604275.00,34.10
BEAUTY,930200,1632300,6455705.00,11317555.00,6.48
BEC,8804904,5165000,79442936.00,47144800.00,16.04
BEM,4268886,3923840,44360401.60,40724666.00,17.08
BFIT,0,8600,0,153080.00,1.84
BGC,0,14400,0,164060.00,0.47
BGRIM,1391100,318700,44343450.00,10160325.00,6.47
BH,150408,427200,26750182.00,75881250.00,40.28
BIG,30000,1024300,38112.00,1309275.00,6.43
BJC,957900,969855,48721975.00,49415491.25,27.72
BJCHI,100,2174,208.00,4476.00,0.62
BKD,0,17000,0,49640.00,4.74
BLA,353820,48500,10292395.00,1413200.00,17.47
BLAND,2567902,958100,4100788.26,1531645.00,19.46
BOL,9800,0,21168.00,0,12.56
BPP,331200,377900,7707710.00,8756760.00,14.12
BR,202400,120000,773562.00,459332.00,11.52
BROOK,5100,100,2601.00,51.00,0.15
BSM,3000,0,1740.00,0,1.02
BTS,8511123,3516800,99022473.70,40864400.00,32.58
BTS-W4,304000,83688,322394.00,88724.84,0.21
B-W4,11000,0,1540.00,0,0.70
BWG,305800,518000,343106.00,582013.00,3.76
CAZ,577400,197000,1496314.00,506610.00,9.17
CBG,1633900,2622402,106293975.00,171523430.50,17.22
CCET,0,10947,0,20714.89,2.85
CEN,0,85300,0,88529.00,15.48
CENTEL,963372,1377300,41749918.00,59645200.00,30.98
CHAYO,134400,70000,653442.00,336400.00,0.99
CHG,2840840,5780900,5598705.20,11432746.00,12.20
CHO,75000,33300,84300.00,37624.00,6.33
CHOW,600,113100,1428.00,270988.00,21.63
CIMBT,0,10200,0,7956.00,0.31
CK,623852,270200,15993865.00,6934350.00,12.15
CKP,9812600,7292100,53008845.00,39003575.00,6.70
CKP-W1,54700,358700,33914.00,228981.00,0.89
CMAN,8000,6000,21120.00,15960.00,2.11
CMC,5500,62400,9130.00,106068.00,0.51
CMO,1800,27300,2934.00,44296.00,7.99
CMR,10000,0,23600.00,0,3.58
CNS,900,0,1683.00,0,0.09
COL,102501,700,2498894.60,17080.00,28.78
COM7,1333400,947100,25862200.00,18317770.00,11.92
COTTO,5000,0,10700.00,0,1.52
CPALL,2343875,3210400,181817994.75,249111425.00,30.69
CPF,2385941,3884860,61453732.75,99935035.00,22.17
CPN,1998475,1622800,151324100.00,122819825.00,44.18
CPT,0,21700,0,25389.00,0.18
CRD,0,10000,0,10100.00,8.09
CSS,0,1500,0,3000.00,0.14
CWT,10000,0,30300.00,0,2.64
DCC,374200,278000,788724.00,585792.00,8.61
DCC-W1,48600,8560,41144.00,7358.00,0.34
DCORP,0,12000,0,6600.00,0.41
DDD,703902,622502,24379392.75,21621169.00,6.63
DELTA,333947,772900,25440520.50,58940150.00,48.35
DEMCO,12300,8300,37884.00,25756.00,0.42
DIMET-W2,0,10000,0,100.00,0.34
DOD,58100,54400,615860.00,571200.00,1.85
DRT,0,200,0,1090.00,0.15
DTAC,1949804,1612200,104761569.00,86497450.00,43.01
EA,4505175,1345400,238127500.00,71104750.00,18.74
EASON,0,1000,0,2300.00,0.19
EASTW,147298,11100,1718816.20,128880.00,3.48
ECF,683500,398000,1672738.00,974264.00,33.46
ECL,20900,1168000,35112.00,1946349.00,16.28
ECL-W3,10000,20000,2900.00,6000.00,0.47
EFORL,0,50000,0,2500.00,9.18
EGCO,250149,326420,74250502.00,96902320.00,28.94
