Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,0,1600,0,6554.00,0.14
2S-W1,0,5600,0,6385.00,0.05
7UP,30000,0,11700.00,0,0.75
7UP-W2,0,100,0,19.00,0.09
7UP-W3,2000,0,180.00,0,0.02
A,600,0,3900.00,0,0.50
AAV,228400,169500,1390345.00,1038845.00,6.36
ABICO,400,0,3480.00,0,0.58
ACAP,200,1000,3680.00,18500.00,0.09
ACC,20000,0,10200.00,0,2.55
ADVANC,143000,637400,25813000.00,115127900.00,12.42
AEONTS,31500,27800,3152400.00,2780150.00,88.51
AH,255100,312800,6292890.00,7705330.00,35.13
AHC,100,0,2725.00,0,1.32
AIT,1000,35200,27125.00,949225.00,4.76
AJ,3500,0,48120.00,0,0.90
AKR,30000,0,29400.00,0,1.72
ALT,4700,0,26790.00,0,0.47
AMA,104800,17600,1728550.00,290510.00,2.39
AMANAH,970900,12146000,988372.00,11508216.00,6.18
AMARIN,1200,0,6600.00,0,0.02
AMATA,58803,784000,1034502.80,13814660.00,4.77
AMATAV,4500,1500,33505.00,11170.00,13.16
AMC,22500,0,66600.00,0,3.96
ANAN,73300,26400,373800.00,134640.00,4.82
AOT,2192506,4569200,113915663.50,237320650.00,17.77
AP,1815800,185700,13864070.00,1419185.00,20.16
APCO,500,0,619.00,0,0.01
APCS,2000,18100,13900.00,126700.00,6.85
APEX,77600,26500,31816.00,10865.00,1.36
APURE,178300,269000,469872.00,711366.00,7.39
AQUA,606000,521000,399960.00,344060.00,19.85
ARIP,256700,50000,197659.00,39000.00,13.08
ARROW,65000,300,899460.00,4140.00,2.88
AS,12400,106600,25316.00,221026.00,1.21
ASAP,241200,269400,1897130.00,2137080.00,5.35
ASEFA,3700,0,26085.00,0,0.59
ASIAN,242100,398900,3592480.00,5922300.00,5.08
ASIMAR,157500,0,478800.00,0,2.28
ASK,44700,0,929210.00,0,6.42
ASP,130400,566300,477304.00,2070418.00,4.03
AS-W1,30200,6000,35636.00,7150.00,0.12
ATP30,400,400,616.00,616.00,0.04
AUCT,52400,0,325085.00,0,2.80
B,1660000,35500,99600.00,2485.00,18.52
B52,20000,100000,12150.00,58000.00,3.71
B52-W2,100,0,4.00,0,0.08
BA,55800,93700,982000.00,1652610.00,0.60
BAFS,3300,20200,147725.00,903250.00,8.94
BANPU,3369455,4297390,56602179.20,72279888.00,11.26
BAT-3K,0,1200,0,327600.00,1.26
BAY,0,400,0,14500.00,0.52
BBL,1130000,527700,207383900.00,96837650.00,25.10
