Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,0,200,0,992.00,0.01
2S-W1,124200,34600,103752.00,29064.00,0.72
7UP,328000,1153200,217168.00,753251.00,1.35
7UP-W3,1105000,0,198900.00,0,1.46
AAV,190100,767200,1192205.00,4797630.00,11.10
ABICO,0,1400,0,13230.00,0.27
ACAP,2500,13800,36250.00,202650.00,0.71
ADB,12000,900,20360.00,1518.00,0.09
ADVANC,1295161,1662600,231854474.50,297669219.90,37.77
AGE,198800,272100,379438.00,517267.00,7.68
AH,1594600,381700,59666200.00,13986650.00,22.90
AHC,7400,300,167700.00,6760.00,3.90
AIRA,600,500400,1382.00,1151020.00,12.28
AIT,13800,300,400500.00,8700.00,1.98
AJ,24400,41900,344040.00,590290.00,13.70
AJA,256200,436700,150156.00,257290.00,0.70
AJA-W1,316900,5000,85565.00,1300.00,1.00
AKP,3000,0,6460.00,0,0.35
AKR,70600,13600,79108.00,15504.00,0.54
ALLA,5400,5900,12212.00,13354.00,1.42
AMA,300,36000,5250.00,623660.00,0.84
AMANAH,20000,100000,32000.00,159000.00,1.88
AMARIN,100,0,530.00,0,0.02
AMATA,6400110,6363300,167828562.50,166061725.00,25.21
AMATAV,7100,1400,63890.00,12505.00,0.72
AMC,1000,50000,2910.00,146000.00,0.90
ANAN,246900,2279877,1494645.00,13797472.00,8.50
AOT,3127101,1892705,184362659.00,111547395.00,13.85
AP,950300,126100,8552780.00,1144405.00,9.22
APEX,81200,128500,35728.00,56540.00,1.17
APURE,68600,27000,138944.00,53190.00,1.26
AQ,10003400,4097800,400170.00,201028.00,19.03
AQUA,424800,624500,301608.00,443395.00,7.54
ARROW,2000,2600,25990.00,33540.00,0.95
ASAP,172400,35700,1498390.00,308670.00,18.31
ASEFA,1000,4000,6165.00,24910.00,0.14
ASIAN,63900,343500,792340.00,4265280.00,1.77
ASIMAR,0,10000,0,30800.00,0.35
ASK,38400,9700,912960.00,231010.00,9.46
ASP,71400,73600,289784.00,298696.00,3.65
AS-W1,0,18600,0,15066.00,0.23
ATP30,2300,3000,4094.00,5340.00,0.23
ATP30-W1,6,600,5.34,528.00,0.02
AU,101400,191600,1267280.00,2428480.00,1.90
AUCT,102600,57800,657975.00,367360.00,3.69
B,163700,48700,202503.00,60393.00,4.65
B52,52300,26700,42013.00,21384.00,0.20
BA,103300,376400,1794270.00,6548470.00,11.04
BAFS,2102,1900,98719.50,89300.00,1.77
BANPU,2761201,1446400,47689887.10,24959330.00,13.13
BAY,13300,8300,512125.00,319325.00,7.78
BBL,0,144556,0,28688760.00,1.28
BCH,1861200,1438100,29570240.00,22844510.00,17.02
BCP,2581300,3887900,98795450.00,148997950.00,23.85
BCPG,851800,2035900,18941750.00,45684620.00,3.26
BCT,101800,0,5394450.00,0,44.18
BDMS,1871323,904100,40836580.10,19766520.00,13.57
BEAUTY,23247200,22576200,488759660.00,477675340.00,20.19
BEC,3302400,293400,54693180.00,4850280.00,24.05
BEM,7057011,1356131,56689673.55,10892540.00,26.93
BFIT,167300,9700,6455525.00,371050.00,5.35
BGRIM,10976600,10455050,304340375.00,289096127.50,20.70
BGT,19500,44400,23789.00,55915.00,1.40
BH,224400,190400,46831000.00,39767400.00,38.79
BIG,283700,2344200,988684.00,8069392.00,7.75
BJC,477000,225700,27189150.00,12879225.00,14.54
BJCHI,60500,181600,198400.00,593548.00,12.03
BKD,68100,278200,192300.00,785954.00,10.41
BKI,200,100,71600.00,36000.00,0.42
BLA,134600,164800,4901250.00,6000800.00,21.21
BLAND,3235200,2646900,5809640.00,4748751.00,22.22
BOL,3700,4800,7696.00,9984.00,0.72
BPP,1523201,1419178,42572527.50,39558636.50,16.33
BR,1285400,0,10394550.00,0,6.07
BROOK,104500,39000,79420.00,29640.00,2.97
BRR,8100,40700,81000.00,406640.00,6.31
BSBM,23900,0,33460.00,0,1.44
BSM,135500,18600,99456.00,13764.00,1.69
BTS,2304900,2438400,19271495.00,20393530.00,21.43
BTS-W3,0,400,0,76.00,0.02
BTW,3100,0,7966.00,0,0.58
BWG,221200,1387400,336435.00,2122765.00,14.92
BWG-W4,1100,0,236.00,0,0.02
CBG,280100,415400,27470150.00,40906525.00,7.93
CCET,332300,346600,1036992.00,1081058.00,16.94
CEN,1000,0,1640.00,0,0.51
CENTEL,147700,78500,7408325.00,3947625.00,8.27
CGD,419300,113900,600344.00,162877.00,1.76
CGH,0,325700,0,468734.00,17.33
CHARAN,0,1000,0,41500.00,0.61
CHG,4675300,1467600,10945168.00,3450026.00,5.66
CHO,23700,42500,39247.00,70091.00,0.89
CHOW,100000,4200,550000.00,23240.00,19.84
CI,0,120000,0,177600.00,11.41
CIMBT,5200,2500,5668.00,2725.00,0.57
CK,5842900,4086705,160355975.00,112428775.00,10.38
CKP,83000,1354400,350908.00,5737720.00,4.61
CM,200,8000,1150.00,46000.00,1.75
CMO,58600,166100,117818.00,335450.00,5.06
CNS,8000,0,23040.00,0,12.90
CNT,0,10200,0,37768.00,4.37
COL,5400,32400,414300.00,2482150.00,7.85
COM7,2747500,287600,47149590.00,4931190.00,10.72
COMAN,1800,0,14940.00,0,0.08
CPALL,6324298,2048100,474302499.50,153482175.00,25.74
CPF,9013205,6053400,224796133.50,150369920.00,21.46
CPN,1036000,544800,87131775.00,45817825.00,30.21
CPR,0,2200,0,12870.00,0.27
CRANE,32900,37300,123742.00,140248.00,3.11
CRANE-W1,14000,0,26880.00,0,1.15
CRD,7000,0,9730.00,0,0.14
CSP,39800,29600,76418.00,56720.00,0.45
CSS,7900,34200,23542.00,102770.00,1.46
CTW,36400,2900,434700.00,34780.00,1.24
CWT,20000,0,64400.00,0,1.46
D,10000,101200,93500.00,950170.00,4.44
DCC,112900,119300,429020.00,456018.00,12.16
DCON,5000,75000,2900.00,42750.00,0.60
DCORP,32000,79000,117980.00,291692.00,0.42
DELTA,178800,276800,15467950.00,23913675.00,23.86
DEMCO,9200,10000,56330.00,61500.00,2.44
DIMET,433500,403900,942510.00,859886.00,0.87
DRT,0,600,0,3420.00,0.21
DTAC,4151605,2677600,182746171.25,118828500.00,18.37
EA,2624501,3653142,119340770.75,166445315.00,25.75
EASON,17600,0,70678.00,0,0.97
EASTW,7200,21600,90000.00,270000.00,11.27
ECF,230000,790600,1473725.00,5160160.00,6.60
ECF-W2,55000,337650,157148.00,973717.00,4.25
ECF-W3,102000,65000,147857.00,94400.00,2.55
ECL,168800,48300,732850.00,210104.00,3.77
ECL-W2,48800,0,119872.00,0,2.33
EE,5000,4800,4899.00,4713.00,0.08
EFORL,1139600,1039600,91168.00,93564.00,13.50
EGCO,95600,83400,21106200.00,18412900.00,19.52
EIC,100400,2000,9036.00,160.00,0.43
EKH,3000,40200,17100.00,227130.00,1.00
EPCO,0,500,0,3125.00,0.09
EPG,477800,447900,5528950.00,5193190.00,16.73
ERW,955200,334800,7685255.00,2689585.00,17.15
ESSO,5488000,2213200,87820300.00,35442360.00,7.88
ESTAR,200000,90000,166000.00,74700.00,0.56
EVER,24000,24600,11280.00,11562.00,0.75
F&D,200,1000,4800.00,24490.00,37.48
FANCY,6900,0,13108.00,0,0.54
FC,10458700,200000,5502353.00,106000.00,3.76
FC-W2,0,14500,0,1305.00,0.03
FLOYD,60100,34000,188112.00,104960.00,5.39
FN,73500,75400,408225.00,428590.00,1.40
FORTH,0,20000,0,147000.00,0.96
FPI,45000,0,210200.00,0,2.58
FPI-W1,14000,16200,37340.00,43744.00,4.17
FPT,129700,162200,2197520.00,2753100.00,8.30
FSMART,84400,110900,1653110.00,2174910.00,6.64
FTE,1117900,300,4014882.00,1072.00,5.33
GC,0,9000,0,45900.00,0.81
GCAP,326600,5000,2344375.00,35960.00,6.35
GEL,834400,819300,359758.00,353165.00,5.10
GENCO,135200,0,151978.00,0,0.48
GFPT,614000,338200,9271980.00,5103390.00,11.74
GGC,69102,0,1149103.20,0,0.80
GIFT,38600,3800,187802.00,18620.00,2.93
GIFT-W1,15000,0,41800.00,0,9.43
GJS,20000,537300,7400.00,198924.00,5.88
GL,1692600,2304700,12615055.00,17279055.00,28.63
GLAND,0,235600,0,466488.00,15.77
GLOBAL,505000,483400,8472820.00,8110930.00,8.92
GLOW,452400,265700,38907300.00,22844575.00,36.54
GL-W4,63000,33200,96070.00,53110.00,2.03
GOLD,130700,100200,1180650.00,899225.00,2.27
GPSC,314600,735000,18474450.00,42997575.00,8.24
GRAMMY,0,56100,0,656060.00,14.63
GRAND,134200,59100,167922.00,74466.00,1.65
GSTEL,401100,54500,76209.00,10355.00,3.91
GUNKUL,1036600,719100,4337730.00,3000660.00,2.35
HANA,216400,731100,10989175.00,37049700.00,12.94
HARN,20900,100,71060.00,338.00,0.88
HFT,0,112600,0,541516.00,15.80
HMPRO,5199000,2839920,69819120.00,38215408.00,37.71
HTECH,36700,59600,348580.00,560560.00,1.66
HYDRO,76300,152300,160108.00,321704.00,7.87
ICC,4500,0,164750.00,0,15.00
ICHI,558800,133600,5465910.00,1303695.00,2.51
ICN,123300,200200,418668.00,667680.00,2.10
IFS,290100,79400,1147302.00,316012.00,4.18
IHL,108800,20900,1110200.00,215860.00,0.64
III,589100,0,5542030.00,0,1.90
ILINK,16400,97200,243940.00,1441950.00,7.96
INET,4000,36600,16800.00,153720.00,1.60
INGRS,6000,26000,7380.00,32440.00,0.45
INOX,806910,1371610,1364080.30,2203513.79,2.47
INTUCH,865800,1298502,47563025.00,71263534.50,26.92
IRCP,531200,435100,1160840.00,973470.00,1.28
IRPC,13695100,6600665,86219575.00,41558294.50,10.68
IT,16100,14100,80000.00,70660.00,1.84
ITD,2517400,1057900,10492640.00,4422048.00,10.60
ITD-W1,4000,0,1320.00,0,0.10
IVL,11432200,9280600,567748150.00,462177525.00,14.07
IVL-W2,145200,117280,2159120.00,1776060.00,0.25
J,38600,10600,93130.00,25216.00,0.52
JAS,1668700,28030200,11665420.00,194898160.00,31.30
JAS-W3,500,0,1710.00,0,0.02
JCK,1070200,17000,2025709.00,31965.00,21.88
JMART,19100,186500,378530.00,3701830.00,1.78
JMART-W2,16700,5000,132440.00,39350.00,0.03
JMT,4701,41500,152182.50,1345350.00,6.02
JSP,202000,62000,162120.00,50320.00,1.02
JTS,0,300,0,522.00,0.45
JUBILE,27300,18000,684325.00,447000.00,1.10
JWD,429700,118100,5307320.00,1461770.00,10.82
KAMART,117100,43400,926315.00,347660.00,1.57
KASET,0,500,0,1250.00,0.12
KBANK,2837400,2012995,638352700.00,452772680.00,43.17
KCAR,3500,100,55650.00,1600.00,0.80
KCE,223400,369800,19249997.50,31367000.00,16.65
KCM,2300,700,3036.00,931.00,0.42
KGI,0,299600,0,1342208.00,8.37
KIAT,15500,0,8842.00,0,1.21
KIAT-W1,10000,0,800.00,0,1.31
KKP,1483200,1294900,113435550.00,99093000.00,28.44
KOOL,5500,11300,12908.00,26442.00,0.67
KSL,536500,15200,2604230.00,73542.00,14.67
KTB,8083000,4143900,151863750.00,77573920.00,17.56
KTC,50900,24600,8433450.00,4064900.00,2.54
KTIS,4500,1200,29950.00,8040.00,1.78
KWG,155000,210200,488200.00,688040.00,2.31
KYE,1500,0,711000.00,0,21.43
LALIN,7000,3000,35350.00,15300.00,2.66
LANNA,1562900,286000,29252550.00,5332370.00,5.01
LEE,270100,5000,831520.00,15400.00,7.71
LH,16546200,18809500,176818200.00,200637510.00,45.45
