Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,0,400,0,1248.00,0.16
2S-W1,300,200,48.00,30.00,0.94
7UP,2900,600,1365.00,284.00,0.13
AAV,2664200,3184800,11294070.00,13499264.00,15.60
ABICO,21300,20000,138210.00,131500.00,1.35
ABM,5000,0,5610.00,0,0.60
ACAP,160900,26700,1019305.00,174270.00,2.61
ACC,5500,0,2480.00,0,1.62
ADVANC,348000,2057100,68314650.00,402903850.00,29.57
AEONTS,33002,22400,5493734.00,3740250.00,8.91
AH,26200,44300,866375.00,1465625.00,7.03
AIT,0,73200,0,1706840.00,11.90
AJ,500,0,5100.00,0,0.60
AJA,100085,168000,40034.00,68828.00,0.28
AKR,238900,94700,243036.00,96302.00,3.52
AMA,14700,7800,84975.00,44865.00,5.98
AMANAH,1401200,1841100,2679706.00,3507434.00,6.48
AMATA,117700,1576170,2252430.00,30132893.00,7.29
AMATAV,0,203003,0,1349969.95,33.27
ANAN,1323005,1180400,6772271.00,6074020.00,6.06
AOT,3193200,5168000,207306875.00,335245375.00,22.47
AP,3518100,2943010,32968705.00,27474473.50,22.81
APCO,0,600,0,2660.00,0.62
APURE,13200,13200,17952.00,18084.00,4.02
APURE-W2,0,20000,0,3400.00,2.63
AQ,0,4027700,0,161108.00,15.18
AQUA,235500,0,115395.00,0,1.29
ASAP,40600,128266,247115.00,777219.30,2.11
ASEFA,0,5900,0,28322.00,2.27
ASIAN,338800,342900,2778665.00,2813355.00,1.91
ASIMAR,10000,13000,26800.00,34840.00,2.39
ASK,0,4000,0,90810.00,6.60
ASP,451200,272200,1745452.00,1054046.00,10.44
AS-W1,8700,0,2937.00,0,2.09
ATP30-W1,33000,0,27060.00,0,14.70
AU,18600,27400,156800.00,233145.00,0.77
AUCT,23200,20800,143835.00,127825.00,3.43
AYUD,0,2800,0,109900.00,14.14
AYUD-W1,21700,236500,56858.00,630280.00,1.12
B,0,32000,0,19200.00,0.19
BA,170100,136700,2071440.00,1666710.00,9.34
BAFS,7800,5100,270625.00,177200.00,7.18
BANPU,13469500,24388578,273431880.00,495237037.80,21.26
BAT-3K,500,0,103500.00,0,50.00
