Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,100,0,324.00,0,0.04
2S-W1,200,0,31.00,0,0.02
AAV,1047500,663200,5554160.00,3485395.00,20.45
ABICO,0,500,0,3000.00,0.69
ABM,1700,136400,2145.00,173756.00,1.39
ACAP,1400,0,10360.00,0,1.31
ACAP-W2,217,0,590.58,0,0.56
ADB,300,0,378.00,0,0.02
ADVANC,1223010,1938000,232808394.00,367951806.00,25.42
AEONTS,20400,32000,3015200.00,4712600.00,13.42
AH,1901,71700,70637.00,2662925.00,12.58
AHC,0,200,0,4260.00,0.86
AIRA,0,100,0,206.00,0.13
AIT,10800,1800,264600.00,43920.00,4.88
AJ,300,12100,3210.00,130050.00,6.61
AJA,1100,15000,496.00,6750.00,0.18
AKP,100,100,174.00,173.00,0.34
AKR,7654400,4899700,11237882.00,7346481.00,8.30
ALLA,0,10000,0,16300.00,0.10
ALT-W1,0,16000,0,15360.00,10.60
ALUCON,0,400,0,82100.00,9.47
AMA,21700,10500,129200.00,63330.00,6.34
AMANAH,1225900,1200600,2482918.00,2441550.00,15.80
AMARIN,0,100,0,515.00,0.03
AMATA,1700400,1067200,34519240.00,21735660.00,9.23
AMATAV,3500,0,23000.00,0,0.50
ANAN,8791849,5413000,43695822.46,26948527.00,13.97
AOT,8054841,7684900,525660285.50,501197700.00,20.21
AP,1333900,1755100,11654660.00,15396240.00,20.18
APEX,7000,0,1260.00,0,0.45
APURE,0,30000,0,43800.00,19.16
AQ,1400,1000,52.00,30.00,0.00
AQUA,221700,401000,119552.00,220540.00,0.98
ASAP,21400,412700,130395.00,2499100.00,10.30
ASEFA,0,10000,0,49800.00,3.09
ASIAN,0,9300,0,51645.00,0.54
ASIMAR,0,20000,0,56000.00,6.33
ASK,8000,9900,177350.00,219530.00,7.83
ASP,423100,440900,1605092.00,1672552.00,12.00
ATP30,2400,0,3984.00,0,0.26
AU,29600,16400,307340.00,171630.00,2.55
AUCT,16200,37000,104245.00,236245.00,3.43
AYUD,0,15000,0,618775.00,6.74
AYUD-W1,28600,94100,116968.00,387762.00,2.64
B52,25200,0,12096.00,0,0.65
BA,72400,146900,1020500.00,2067030.00,19.13
BAFS,95200,56800,3109225.00,1855475.00,9.70
BANPU,11528484,12816200,235475905.60,262096218.00,18.29
BAY,56800,242400,2262200.00,9696775.00,32.19
BBL,1913700,1440701,374445779.70,281856073.70,38.96
BCH,832700,746000,13010650.00,11673460.00,18.07
BCP,1630406,1431200,53954311.00,47418200.00,21.02
BCPG,1076810,649300,19333880.00,11629050.00,12.13
BDMS,5266950,9388300,130604370.00,234568291.00,12.43
BEAUTY,7849600,12831657,124803430.00,202856299.20,20.69
BEC,312400,467800,2602305.00,3933640.00,6.45
BEM,10280700,14842500,77250100.00,111907475.00,7.27
