Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,14200,10400,122435.00,89960.00,0.93
7UP,2400,74200,2018.00,62344.00,0.38
AAV,1096200,324800,6700865.00,1996490.00,3.70
ABICO,35600,200,477330.00,2680.00,2.70
ACAP,22800,5200,599750.00,134000.00,0.43
ADVANC,537400,658411,85656350.00,104816099.00,6.91
AEC,127000,300000,86360.00,204000.00,1.60
AEC-W4,6000,1200000,1320.00,242000.00,37.90
AEONTS,38100,4500,3810000.00,450000.00,22.30
AF,0,27600,0,17388.00,0.78
AFC,800,100,6840.00,835.00,0.05
AGE,51000,71200,88110.00,122954.00,0.74
AH,10400,0,161190.00,0,4.02
AIT,5800,223000,155150.00,5986700.00,13.52
AJ,17900,2000,244870.00,27400.00,1.35
AJA,155100,13000,279656.00,23530.00,0.45
AJA-W1,20000,0,22500.00,0,2.81
AKR,242100,90000,289708.00,107100.00,2.07
ALLA,143000,0,433660.00,0,1.63
ALT,2504300,2153100,25726230.00,22130890.00,10.84
ALUCON,0,400,0,114100.00,19.92
AMA,20400,10000,483980.00,241000.00,1.02
AMARIN,14000,0,101000.00,0,2.64
AMATA,628100,2848800,9444120.00,43066570.00,8.36
AMATAV,25800,100,188230.00,720.00,2.99
AMC,30400,82000,138528.00,375072.00,1.00
ANAN,1460900,1373100,7342332.00,6970123.00,5.74
AOT,699101,330480,289828814.00,136898000.00,5.09
AP,1203800,1764120,8916695.00,13014503.00,25.27
APCO,18900,0,30429.00,0,1.29
APCS,256700,21500,2238985.00,185420.00,2.67
APURE,1482300,287100,3852536.00,744374.00,2.79
AQUA,346700,416700,298013.00,357662.00,0.79
ARROW,17600,15200,304480.00,262700.00,6.38
AS,34300,0,93660.00,0,3.21
ASEFA,295000,1720100,2447160.00,14318175.00,14.69
ASIA,0,1,0,79.00,0.01
ASIAN,25700,192800,145535.00,1070410.00,0.98
ASK,14000,70000,328780.00,1644070.00,7.66
ASP,447605,200900,1666150.70,747348.00,10.26
ATP30,293000,86600,608194.00,176864.00,4.08
AU,0,41500,0,512150.00,0.48
AUCT,600,106500,6000.00,1064970.00,10.71
B,641900,307400,51352.00,27666.00,8.94
B52,668500,15400,213920.00,4924.00,0.70
BA,171505,1067100,3763369.00,23365740.00,19.59
BAFS,2,300,73.00,11025.00,1.17
BANPU,4326200,3234600,83952820.00,62735470.00,5.80
BANPU-W3,0,200000,0,2840000.00,10.73
BAY,11400,14200,450300.00,560950.00,22.15
BBL,0,858400,0,148852050.00,8.11
BCH,212200,581800,3085890.00,8560820.00,7.53
BCP,586702,623000,20499270.00,21798975.00,12.67
BCPG,756302,424300,10517637.80,5898500.00,2.80
BCT,400,0,11150.00,0,1.09
BDMS,3124405,2469000,69589781.50,54943330.00,16.25
BEAUTY,1745900,2668400,19544280.00,29949150.00,9.73
BEC,1158100,1465353,21013970.00,26306628.10,31.47
BEM,15617103,9883300,110075041.15,69763780.00,16.96
BFIT,0,7500,0,93000.00,1.73
BGT,55600,22100,119904.00,48198.00,0.24
BH,124100,80500,22278350.00,14469850.00,8.79
BIG,1377006,1344200,7403132.70,7263105.00,11.44
BJC,266000,460200,13380725.00,23207175.00,2.79
BJCHI,44000,84800,227140.00,439620.00,3.70
BKD,0,20800,0,69456.00,0.59
BLA,100900,11600,4914975.00,562675.00,14.68
BLAND,7208800,8417400,13722771.00,16075967.00,8.96
BLAND-W4,0,250000,0,72500.00,0.53
BM,500000,50000,1984000.00,199000.00,4.68
BPP,16500,64900,409200.00,1609710.00,0.44
BR,34700,58000,231040.00,388600.00,2.95
BROOK,468600,141400,421740.00,125921.00,1.88
BRR,195400,43800,2982880.00,668130.00,5.81
BSBM,100,500,159.00,795.00,0.02
BTNC,1000,0,16000.00,0,0.10
BTS,3457402,4328900,28951381.90,36332640.00,12.54
BTS-W3,300,10200,198.00,6732.00,0.17
BTW,6200,69400,22816.00,258564.00,1.16
B-W3,640000,0,12800.00,0,14.11
BWG,229400,408400,490522.00,873976.00,1.76
BWG-W4,246000,0,123000.00,0,2.13
CBG,210900,159800,15832675.00,12014700.00,7.75
CCET,29700,0,84260.00,0,2.67
CEN,10000,0,19900.00,0,0.66
CENTEL,87800,7100,3263575.00,264475.00,3.52
CFRESH,14000,5000,107925.00,39250.00,1.32
CGD,61600,10000,67760.00,11000.00,1.60
CGH,31200,23000,49940.00,37260.00,0.06
CHARAN,500,0,17750.00,0,0.39
CHG,1138600,49000,3301870.00,142118.00,2.01
CHO,15100,7200,27946.00,13320.00,0.30
CHOTI,100,0,19700.00,0,2.78
CHOW,0,5000,0,28500.00,0.18
CI,13200,0,27808.00,0,0.24
CIMBT,803000,0,1028642.00,0,13.98
CITY,8000,5000,26240.00,16400.00,5.94
CK,1746900,1582581,50217100.00,45537128.75,13.56
CKP,2056900,1218300,6889386.00,4077454.00,4.92
CM,218600,24800,1280970.00,147410.00,1.87
CMR,4900,0,22898.00,0,0.92
CNS,2000,17800,5160.00,45924.00,1.50
CNT,110500,4000,475940.00,17200.00,8.46
COM7,265000,197900,3143420.00,2391950.00,1.88
COMAN,0,11500,0,126500.00,0.28
CPALL,3601800,1218000,217743375.00,73631275.00,20.21
CPF,3005800,5947700,86044825.00,170052025.00,31.97
CPI,257300,13800,689814.00,36860.00,1.80
CPN,1036400,776500,58596950.00,43853100.00,33.70
CPR,11500,6700,92135.00,53600.00,0.15
CRANE,18400,0,49680.00,0,3.25
CSL,14700,0,91140.00,0,3.37
CSS,123000,63100,430412.00,218612.00,0.45
CTW,6200,0,69950.00,0,1.73
CWT,100,11200,384.00,43232.00,0.25
DCC,151300,3700,677824.00,16576.00,5.39
DCON,777100,757100,474562.00,469402.00,10.77
DCON-W1,0,7400,0,35984.00,49.33
DCORP,0,28000,0,303020.00,2.27
DELTA,193800,112100,16569875.00,9601325.00,17.89
DEMCO,392200,255900,3166710.00,2073935.00,4.26
DIMET,326700,391800,1122590.00,1329646.00,1.47
DRT,48000,6000,301400.00,37800.00,0.69
DSGT,0,25100,0,124998.00,3.75
DTAC,5989305,4480800,239763922.50,180817100.00,11.41
DTC,3100,0,30475.00,0,1.71
DTCI,100,0,2750.00,0,0.07
EA,130800,960800,3716725.00,27325125.00,7.63
EARTH,0,156500,0,710510.00,2.32
EARTH-W4,0,300000,0,108000.00,8.66
EASON,117200,356900,552022.00,1663030.00,1.33
EASTW,2800,700,32480.00,8120.00,0.50
ECF,13900,356100,47146.00,1203792.00,6.85
ECL,0,10000,0,16400.00,0.33
EE,57800,72800,67703.00,85178.00,0.73
EFORL,1184800,689800,316545.00,186250.00,3.25
EGCO,103600,125500,20890200.00,25270000.00,12.40
EIC,400,0,300.00,0,0.01
EIC-W1,237900,0,21411.00,0,47.96
EKH,1400,7100,9660.00,49090.00,0.14
EPCO,0,202600,0,1397940.00,9.55
EPG,153400,95600,2056610.00,1272100.00,2.20
ERW,266700,900,1181430.00,3996.00,2.08
ESSO,563800,621900,6596690.00,7264740.00,6.78
ESTAR,100000,950100,75000.00,712575.00,1.17
EVER,115400,462900,95782.00,384070.00,2.88
EVER-W2,200000,0,28000.00,0,7.43
F&D,500,14700,10730.00,315830.00,44.44
FANCY,901100,873900,2565930.00,2534520.00,9.22
FC,2000,199100,1250.00,125824.00,1.37
FC-W2,577400,0,63514.00,0,2.33
FN,1026200,739100,8904735.00,6433165.00,2.59
FNS,0,26500,0,129400.00,1.38
FORTH,32600,34200,255510.00,269930.00,1.06
FPI,5000,4600,23700.00,21804.00,1.05
