Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,600,0,2102.00,0,0.73
2S-W1,50100,0,9018.00,0,2.99
7UP,45000,72400,25200.00,40544.00,0.78
AAV,1527200,2377200,8559745.00,13301755.00,23.03
ABICO,21300,28000,130995.00,172200.00,56.80
ACAP,800,600,6280.00,4740.00,0.37
ADB,700,0,896.00,0,0.03
ADVANC,1343720,979430,257567130.00,187639882.50,24.54
AEONTS,4800,41200,735850.00,6336650.00,9.93
AH,33700,35200,1282000.00,1335025.00,10.16
AIT,10100,20300,252500.00,507320.00,17.41
AJ,0,49800,0,541720.00,11.25
AJA,1000,0,490.00,0,0.06
AKP,14900,0,26671.00,0,3.00
AKR,620300,4161400,880985.01,5878249.00,5.15
AMA,6700,9000,43450.00,58365.00,3.95
AMANAH,30300,472914,61818.00,964944.28,2.31
AMARIN,15000,35500,87050.00,211200.00,0.81
AMATA,2534600,922800,57503190.00,20907540.00,16.86
AMATAV,1300,14300,8970.00,99370.00,6.84
AMC,0,4900,0,13426.00,5.44
ANAN,7266004,2251100,32418781.92,10061494.00,18.98
AOT,2861005,5265825,196235892.50,360792505.75,29.76
AP,3583600,1257000,32400955.00,11365335.00,27.12
APURE,0,4500,0,6795.00,0.71
AQ,4618800,414100,138564.00,12970.00,15.04
AQUA,24000,0,13681.00,0,0.30
ARROW,0,1500,0,16100.00,6.70
ASAP,29315,165900,187231.50,1050055.00,3.45
ASEFA,2000,0,10300.00,0,0.44
ASIAN,7300,2400,41075.00,13440.00,1.45
ASIMAR,1000,0,2860.00,0,0.14
ASK,300,600,6780.00,13560.00,0.89
ASP,335500,378840,1295500.00,1464928.00,10.16
AU,700,4100,7770.00,45940.00,0.08
AUCT,67080,483900,455063.20,3233930.00,2.99
AYUD,0,5300,0,227050.00,34.42
AYUD-W1,13900,5000,65460.00,23300.00,0.48
B52,3000,0,1380.00,0,0.10
BA,22700,36900,339570.00,550890.00,2.25
BAFS,13400,25304,495800.00,936248.00,6.20
BANPU,16763505,9237900,363759329.00,200540560.00,19.56
BAY,76804,34400,3222091.25,1439975.00,5.55
BBL,1445818,1327900,285616206.50,262142650.00,23.34
BCH,4336910,2703900,70244563.00,44029360.00,24.04
BCP,803700,1362600,28875550.00,48956825.00,23.00
BCPG,227000,603800,4396790.00,11680050.00,13.02
BCT,20400,20000,1121725.00,1100000.00,52.88
BDMS,11307304,7801090,291747452.00,200275347.50,18.04
BEAUTY,6731200,8376400,111146430.00,137903540.00,15.84
BEC,615300,432400,5458920.00,3820040.00,4.44
BEM,6355596,5340950,49842988.60,41817770.00,23.52
BFIT,27900,48750,853350.00,1476212.50,2.61
BGRIM,449900,299700,10988870.00,7282160.00,3.18
BH,131200,323252,25128450.00,61876445.50,20.82
BIG,165100,75800,401844.00,184952.00,11.77
BJC,1735553,1986925,95564600.50,109233593.75,23.72
BJCHI,3200,4128,8128.00,10405.44,3.99
BKD,51000,51000,165240.00,166260.00,20.33
BKI,100,0,35900.00,0,2.08
BLA,29500,38600,1038675.00,1360600.00,10.17
BLAND,3683500,5891600,7239898.00,11567376.00,20.12
BM,250900,31300,934494.00,115236.00,3.74
BPP,46512,158403,1146095.90,3900963.20,17.30
BR,51800,252667,313390.00,1521041.95,8.57
BSM,0,10000,0,7400.00,0.52
BTS,7289032,6433950,69618767.20,61462122.50,23.95
BTS-W3,825000,0,57750.00,0,2.41
BTW,0,1100,0,1991.00,0.06
BWG,911700,660900,1126894.00,819516.00,16.14
BWG-W4,300,0,30.00,0,0.02
CBG,122900,244000,6909325.00,13751300.00,13.70
CCET,75050,287500,144049.50,554866.00,10.30
CEN,0,500,0,675.00,0.44
CENTEL,605000,759700,28052800.00,35145100.00,21.37
CGD,19900,21000,28855.00,30450.00,0.38
CHAYO,1191400,263000,4155532.00,913030.00,1.51
CHEWA,4800,8740,5280.00,9614.80,0.24
CHEWA-W1,69500,45000,6255.00,4120.00,1.55
CHG,4429900,4233700,10473062.00,9996768.00,28.64
CIMBT,357700,0,350549.00,0,8.80
CITY,0,12300,0,33702.00,31.87
CK,1750600,954400,48204425.00,26277700.00,12.14
CKP,4057300,2396708,17224056.00,10158325.92,6.11
CKP-W1,0,38000,0,14820.00,0.15
CM,300,0,1284.00,0,0.11
CMAN,100,0,370.00,0,0.01
CNT,1400,0,3528.00,0,8.75
COL,43000,8300,1188900.00,240925.00,2.70
COM7,1097702,1768800,19757226.20,31864560.00,22.35
COMAN,3700,0,14922.00,0,0.15
CPALL,3544839,5332866,286100374.25,430559045.50,12.19
CPF,10584005,11370849,278204632.50,298576974.00,14.38
CPI,3700,0,7091.00,0,0.17
CPN,3687305,2761840,266330512.50,199377885.00,15.29
CPR,5000,0,26000.00,0,3.11
CPT,3846900,1315800,9934376.00,3400060.00,4.50
CRANE,6200,0,14548.00,0,0.60
CSS,2000,0,4560.00,0,0.06
CTW,0,400,0,3240.00,0.34
CWT,1000,107300,3680.00,394230.00,8.60
CWT-W4,6000,10100,6220.00,10461.00,0.04
D,84500,1400,918380.00,15320.00,2.59
DCC,212600,412800,477328.00,928736.00,9.38
DCC-W1,110000,220300,88100.00,174396.00,0.52
DCORP,190000,163800,619400.00,537664.00,2.99
DDD,58900,180000,4157400.00,12592675.00,7.55
DELTA,216800,103625,13950350.00,6659793.75,47.21
DEMCO,6000,2000,26640.00,8894.00,1.28
DIMET,7600,500,8892.00,605.00,0.10
DRT,500,200500,2875.00,1152900.00,32.29
DTAC,2204500,2165800,107681525.00,105735500.00,25.14
DTC,282400,569300,4167740.00,8691420.00,5.70
EA,4974468,4541000,194579670.00,177869200.00,28.16
EASTW,188700,250100,2132310.00,2825430.00,17.98
ECF,424900,349800,3081785.00,2551050.00,14.23
ECF-W2,37000,20300,143852.00,79170.00,12.27
ECF-W3,205600,92400,606616.00,273598.00,18.22
ECL,143800,78100,287522.00,155969.00,1.51
EE,1577700,1046000,1371307.00,900691.00,29.26
EFORL,8014000,1004000,560980.00,70280.00,2.98
EGCO,472900,337520,112155500.00,80061080.00,36.10
EIC,600200,600200,36012.00,36033.00,46.97
EKH,1600,1600,8640.00,8720.00,1.19
EMC,2000,0,480.00,0,0.02
EPCO,1153955,13835,5751203.00,69864.30,3.72
EPG,1041600,1145600,8505845.00,9345530.00,22.39
ERW,397900,211300,3241680.00,1716705.00,21.03
ESSO,1680900,5179600,24053620.00,74192530.00,30.49
