Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,300,200,938.00,626.00,0.55
2S-W1,2100,1000,285.00,150.00,0.44
7UP,300,3900,141.00,1833.00,0.05
7UP-W2,900,0,54.00,0,0.10
AAV,1323000,2423000,5492628.00,10060148.00,16.01
ABICO,10000,0,67500.00,0,11.19
ABM,323300,0,345931.00,0,17.42
ACAP,16600,85400,101260.00,516670.00,5.58
ACAP-W2,6800,5500,13260.00,11456.00,0.22
ACC-W1,1800,0,72.00,0,0.30
ADB,27000,21500,29870.00,23700.00,2.96
ADVANC,2605000,2688700,512774458.00,529354450.00,52.74
AEONTS,268100,59500,52634950.00,11699450.00,28.14
AGE,0,500,0,650.00,0.03
AH,81900,64000,2125150.00,1658500.00,13.36
AIT,3400,11100,73760.00,239830.00,6.23
AJ,0,4500,0,43245.00,1.51
AJA,1100,510600,407.00,198834.00,2.12
AKP,7800,0,13026.00,0,1.77
AKR,36700,42000,36113.00,41158.00,1.01
ALLA,20000,30000,31200.00,46500.00,0.88
ALT-W1,100000,1000,102000.00,1040.00,4.25
ALUCON,100,100,17200.00,17450.00,1.45
AMA,33700,26300,180285.00,140380.00,5.21
AMANAH,303100,134500,513085.00,234668.00,1.37
AMARIN,37700,1100,178698.00,5226.00,38.96
AMATA,5322365,3280900,122392073.50,75388850.00,16.00
AMATAV,2000,0,11600.00,0,0.30
AMC,10000,0,21800.00,0,1.56
ANAN,1559423,1402800,7124234.70,6434498.00,14.16
AOT,6279713,8685200,382896096.25,530056850.00,12.55
AP,8514872,6399700,70352284.55,52845325.00,37.69
APCO,0,100,0,448.00,0.07
APURE-W2,100000,0,24000.00,0,4.11
AQ,2893400,3300700,86852.00,132028.00,19.12
AQUA,48200,51200,22172.00,23552.00,0.42
ASAP,44500,266700,271405.00,1626370.00,10.85
ASEFA,0,400,0,1968.00,0.18
ASIAN,128300,457000,977190.00,3587040.00,4.73
ASIMAR,0,2000,0,5080.00,0.42
ASK,34200,2700,796860.00,62980.00,13.18
ASP,13450200,6541040,50618522.00,24641525.92,62.96
ATP30-W1,1000,0,760.00,0,0.72
AU,13600,173800,101740.00,1303180.00,5.10
AUCT,317300,181700,1971030.00,1136760.00,4.57
AYUD-W1,97402,51500,705104.90,382275.00,0.84
B,0,4000,0,2400.00,0.12
B52,1000,7000,220.00,1610.00,0.64
BA,70300,346600,872130.00,4297360.00,13.90
BAFS,229983,1038000,7419128.25,33515425.00,50.45
BANPU,12628614,17588043,226081105.60,312833240.00,29.97
BAY,66100,179400,2676575.00,7242550.00,35.74
BBL,2907400,1509944,614234300.00,319270740.00,36.27
BCH,3491521,2455320,67022743.90,47254720.10,26.29
BCP,2882360,3302085,95079105.00,108879762.50,66.45
BCPG,1681213,2636000,32649879.20,51268230.00,12.14
BCT,2000,0,107500.00,0,5.04
BDMS,2238805,3904400,55767594.00,97291020.00,13.87
BEAUTY,14063673,12666586,126127751.45,113619545.05,9.79
BEC,835380,2387000,5417396.00,15408640.00,20.28
BEM,3099000,9816900,25660550.00,81360960.00,21.16
BFIT,10500,3300,274250.00,85925.00,2.51
BGC,646302,688500,7737224.00,8227350.00,0.87
BGRIM,1478600,1804500,41030800.00,50148175.00,14.25
BGT,0,300,0,324.00,0.06
BH,83110,570510,15664820.00,107839940.00,26.60
BIG,13756100,3556100,24415065.00,6322759.00,51.54
BIZ,1000,10000,2760.00,27600.00,1.16
BJC,1153300,1339600,64441250.00,74867325.00,4.08
BJCHI,3100,9047,7874.00,22899.50,3.15
BKD-W2,1000000,31000,290000.00,8990.00,18.55
BKI,500,0,174000.00,0,20.80
BLA,221264,578000,7369427.75,19298025.00,31.62
BLAND,44250365,33080800,77669116.37,58117806.00,64.17
BPP,923000,1078800,21598330.00,25428020.00,18.95
BR,614998,4046300,3044018.06,20125454.00,39.07
BROOK,0,1200,0,672.00,0.11
BRR,500,20100,3550.00,144725.00,1.29
BTS,5389741,8897400,48302393.40,79659330.00,34.54
B-W3,50000,0,500.00,0,50.00
B-W4,82000,113400,18080.00,27216.00,0.39
BWG,1268600,1389400,1427678.00,1571646.00,4.36
BWG-W4,1200,500,91.00,40.00,0.13
CBG,202200,307500,8971200.00,13644575.00,15.28
CCET,216305,223500,420606.90,432763.00,28.30
CCP,0,2100,0,862.00,0.06
CEN,12500,1500,16875.00,2040.00,1.55
CENTEL,249300,1209909,9668450.00,47053426.00,25.88
CGD,5900,93000,7999.00,126949.00,1.45
CGH,0,100,0,103.00,0.01
CHAYO,182000,556700,884638.00,2766561.00,4.49
CHEWA,11600,203800,15156.00,265487.00,3.26
CHEWA-W1,57000,0,10830.00,0,0.34
CHG,14107338,11980994,36575669.08,31027887.48,38.63
CHO,15600,140000,18252.00,163800.00,13.97
CIG-W7,5600,0,56.00,0,0.46
CIMBT,0,1400,0,1192.00,0.03
CK,1188666,2062900,30573826.25,52870750.00,23.67
CKP,8589200,9995700,42552906.00,49313752.00,12.42
CM,1000,35100,4340.00,150930.00,9.27
CMAN,0,203700,0,631976.00,7.32
CMO,100,0,151.00,0,0.02
CNS,0,300,0,762.00,0.32
CNT,22000,11100,50560.00,25690.00,7.65
COL,4100,33200,102265.00,821845.00,4.23
COM7,1490700,1851398,32518900.00,40468326.80,16.78
COTTO,5000,0,13600.00,0,0.15
CPALL,14774193,5884150,967200615.25,384743587.50,20.64
CPF,4177129,3420700,101392360.30,83084360.00,27.47
CPI,15300,1400,26469.00,2464.00,7.13
CPN,842600,2577836,66309150.00,202555274.75,24.15
CPT,832300,8200,1016340.00,10184.00,4.93
CSC,1700,0,74800.00,0,21.25
CSP,100000,0,132000.00,0,26.30
CSS,0,5300,0,11024.00,0.33
CWT-W4,10000,0,3300.00,0,0.21
D,500,8400,5350.00,90600.00,1.06
DCC,446900,1270700,1011216.00,2896142.00,12.40
DCC-W1,25000,102300,22000.00,90025.00,1.11
