Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,0,6300,0,50560.00,0.23
7UP,20000,31000,12600.00,19577.00,1.47
AAV,98900,11426800,610600.00,71095735.00,26.91
ABICO,6500,0,75300.00,0,0.40
ACAP,105300,29300,2707000.00,769875.00,1.45
ADVANC,398100,445900,69566200.00,77836600.00,17.45
AEONTS,3000,2000,307500.00,205000.00,67.57
AF,349400,50100,209640.00,29659.00,12.84
AGE,0,58200,0,94098.00,0.63
AH,16700,4000,266020.00,63980.00,2.16
AIT,9700,14900,279575.00,429775.00,0.47
AJ,61900,99900,866600.00,1396210.00,17.17
AJA,227400,235100,374922.00,388630.00,0.84
AJA-W1,227400,0,165968.00,0,10.38
AKR,0,100000,0,112000.00,7.74
ALLA,87500,0,209950.00,0,8.98
ALT,225500,20800,1863050.00,172615.00,2.73
AMA,19000,5000,423700.00,112000.00,2.55
AMANAH,1197000,155300,2544728.00,331130.00,8.34
AMATA,13600,174800,239360.00,3075060.00,7.52
AMATAV,15800,3800,120385.00,28930.00,1.81
AMC,0,149800,0,626666.00,3.32
ANAN,131700,532300,637398.00,2582212.00,2.50
AOT,1776500,982202,70357875.00,38919679.50,9.18
AP,176600,1321500,1309725.00,9789050.00,12.54
APCO,2000,52500,3020.00,79223.00,2.56
APCS,0,18500,0,131400.00,2.15
APEX,488000,400000,297680.00,248000.00,0.80
APURE,115500,211600,274600.00,507744.00,4.77
AQUA,583400,657700,455054.00,513101.00,7.95
ARROW,0,14500,0,247990.00,3.11
AS,12200,194900,26796.00,415016.00,3.40
ASAP,1000,2800,4180.00,11806.00,0.03
ASEFA,0,15200,0,123880.00,1.83
ASIAN,17700,7600,101210.00,44080.00,0.55
ASK,351,5200,7270.80,107640.00,1.35
ASP,400,145500,1400.00,506362.00,4.93
ATP30,222800,31000,459584.00,63860.00,4.02
AU,76700,14600,717690.00,136550.00,2.88
AUCT,26000,2500,202600.00,19795.00,0.28
AYUD,0,10000,0,327500.00,9.56
B52,409200,1290700,94116.00,296861.00,7.16
B52-W2,1000,0,60.00,0,0.02
BA,213400,43600,4247330.00,867320.00,4.14
BAFS,2801,0,106438.00,0,0.53
BANPU,2355900,1703700,49178970.00,35559420.00,4.12
BANPU-W3,3900,3250,62100.00,51970.00,0.35
BAY,2200,13600,84800.00,522050.00,0.98
BBL,775300,1283000,144762050.00,239401350.00,29.96
BCH,155200,158400,2021170.00,2059220.00,6.39
