Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,100,0,216.00,0,0.12
7UP,300,0,78.00,0,0.02
AAV,573300,2566317,2425158.00,10844570.76,27.99
ABICO,400,400,1680.00,1688.00,0.22
ACAP,6000,45700,23160.00,174726.00,1.41
ACC,20000,4800,14200.00,3456.00,0.57
ADVANC,1701500,1362000,322000100.00,257913200.00,28.95
AEC,100,0,51.00,0,0.00
AEONTS,162700,72345,31358400.00,13935555.50,20.82
AH,58000,203300,1148960.00,4048170.00,16.19
AIT,10000,1000,217050.00,21700.00,5.07
AKR,0,93500,0,76660.00,2.55
ALL,157100,40300,747542.00,191834.00,0.68
ALLA,31200,213500,44498.00,302872.00,5.33
ALT,0,100,0,290.00,0.06
AMA,29,0,122.38,0,0.00
AMANAH,100000,15000,163000.00,24313.00,4.75
AMATA,1001800,1772097,21667270.00,38357345.50,14.83
AMATAV,228200,0,1141000.00,0,33.57
ANAN,1247300,1597490,4423186.00,5682558.76,10.37
AOT,2421300,4768000,164234850.00,323000850.00,26.32
AP,1379200,3423200,10108590.00,25115145.00,30.93
APCS,0,100,0,474.00,0.41
APURE,891500,300000,1163450.00,391486.00,34.54
AQUA,100100,0,54054.00,0,0.69
ASAP,131600,3800,370768.00,10696.00,4.88
ASEFA,46000,0,226260.00,0,1.11
ASIAN,175200,127600,1268195.00,926380.00,1.45
ASK,0,4000,0,94400.00,5.95
ASP,1042900,615400,2901916.00,1715950.00,7.34
ATP30,0,20000,0,28200.00,1.64
AU,68400,143900,592560.00,1244040.00,11.05
AUCT,59800,43600,405895.00,297750.00,2.30
AYUD,0,1000,0,42625.00,6.85
B,67,0,40.87,0,0.00
B52,20,0,5.80,0,0.00
BA,0,84700,0,987950.00,5.19
BAFS,22200,43300,772750.00,1501925.00,17.56
BANPU,6846300,6818922,108738020.00,108199622.00,27.62
BAY,30500,9400,1159275.00,356950.00,13.32
BBL,1077700,1088100,217885960.00,220190560.00,24.58
BCH,3373001,2666500,59390307.70,47032890.00,28.75
BCP,731210,498300,22957587.50,15590675.00,9.15
BCPG,415600,1186500,7310180.00,20881950.00,9.34
BCT,700,5000,32675.00,230000.00,24.78
BDMS,12528100,9508600,311782470.00,236651770.00,27.84
BEAUTY,10640000,14291400,60727790.00,82058270.00,5.49
BEC,5659400,5274600,49918495.00,46009375.00,10.30
BEM,11756802,13410900,129701562.60,147793550.00,27.93
BGC,100,600,1130.00,6790.00,0.04
BGRIM,1590800,1645382,49958625.00,52390508.00,8.83
BH,405302,588600,68296887.00,99091600.00,32.38
BIG,171300,1100800,191295.00,1232274.00,8.25
BIZ,14100,13900,37224.00,36974.00,8.98
BJC,578200,1562100,29725875.00,80394300.00,24.61
BJCHI,0,3495,0,7337.60,1.04
BKD-W2,0,1000,0,160.00,0.06
BLA,265300,95500,7258300.00,2602425.00,28.64
BLAND,868500,1358000,1355422.00,2111401.00,10.04
BOL,2134100,13200,5215658.00,31848.00,12.59
BPP,266600,477800,5724090.00,10214170.00,6.95
BR,200,19300,740.00,71158.00,1.95
BTS,6161305,19593800,71554688.00,227650710.00,42.72
BTS-W4,19020900,699300,20323605.00,777374.00,10.15
B-W4,155,0,17.30,0,0.01
BWG,1008200,841400,1028367.00,860650.00,4.80
CAZ,153500,189600,342560.00,420212.00,7.65
CBG,845800,895500,48862000.00,51999350.00,21.93
CCET,26500,228328,50084.00,431156.08,24.80
CEN,1500,0,1515.00,0,0.95
CENTEL,980700,2940200,39923550.00,119487025.00,33.33
CHAYO,111900,0,484942.00,0,2.54
CHEWA,73,73700,80.06,81070.00,1.86
CHG,1912700,3002500,3672645.00,5748025.00,16.81
CHO,2000,0,2060.00,0,0.10
CHOW,81100,47200,191618.00,111916.00,8.42
CK,619300,298600,16238750.00,7790650.00,7.92
CKP,13567000,2699200,77183810.00,15516940.00,9.24
CKP-W1,655000,1069500,514710.00,793465.00,0.74
CM,2000,0,7920.00,0,0.24
COL,31437,9500,763120.20,229200.00,22.28
COM7,6492200,1591100,128110640.00,31267400.00,18.79
COTTO,0,500,0,1050.00,0.19
CPALL,12523100,8768300,961913825.00,673881175.00,27.67
CPF,8284600,3483800,227457950.00,95616100.00,27.39
CPI,0,2200,0,3102.00,9.57
CPN,2756500,2108100,203058275.00,155110825.00,33.55
CPT,0,1540000,0,1910000.00,7.79
CSS,1100,848700,2112.00,1623452.00,28.41
CWT,0,10000,0,30000.00,8.76
DCC,448100,4301700,915154.00,8875668.00,28.32
DCC-W1,0,1200000,0,912187.00,14.55
DCON,10000,0,4500.00,0,0.28
DDD,253300,21900,6773775.00,609050.00,4.09
DELTA,405000,301200,29624934.00,22061659.00,60.30
DEMCO,0,22000,0,65560.00,2.75
DOD,235700,269000,2141825.00,2497915.00,3.78
DRT,0,800,0,4480.00,0.11
DTAC,1585800,724500,82079400.00,37492550.00,26.47
EA,5706000,5423300,308028000.00,293571775.00,13.15
EASON,12800,0,27648.00,0,26.12
EASTW,174800,25800,1992900.00,294240.00,10.47
ECF,2197100,2801300,5260132.00,6722594.00,67.27
ECF-W3,2000,0,1660.00,0,3.83
ECL,4100,12200,6478.00,19276.00,0.63
ECL-W3,0,27500,0,7700.00,1.34
EE,0,20000,0,10400.00,1.35
EFORL,2000,0,120.00,0,0.01
EGCO,802900,321100,233641900.00,93665900.00,38.22
EKH,2300,122900,13800.00,740595.00,4.91
EMC,0,400000,0,100000.00,2.18
EPCO,135000,120000,447460.00,397758.00,10.02
EPG,320200,746052,1915900.00,4543803.70,7.51
ERW,257600,1373100,1744730.00,9280665.00,12.61
ESSO,606300,3444700,6460420.00,36536490.00,12.21
EVER,131400,214500,72117.00,115830.00,1.52
FANCY,500,0,245.00,0,0.02
FORTH,2000,150400,11900.00,895175.00,34.95
FPI,0,500,0,1150.00,0.05
FPT,900,500,15050.00,8300.00,2.36
FSMART,67700,30000,485185.00,213830.00,3.51
FVC,140000,0,99800.00,0,1.39
FVC-W2,612600,600000,226032.00,216408.00,4.79
GBX,500,0,280.00,0,0.04
GCAP,392500,356500,910958.00,822356.00,5.11
GEL,35,0,8.75,0,0.00
GENCO,10000,0,7500.00,0,0.33
GFPT,1126900,702900,16863300.00,10479250.00,19.01
GGC,128009,154510,1449772.60,1755055.00,7.56
GIFT,100,0,364.00,0,0.10
GL,150500,289700,1068380.00,2069405.00,12.29
GLOBAL,2984400,1623200,50832850.00,27595990.00,30.32
GLOW,668032,275300,60417512.00,24847975.00,35.41
GOLD,679400,80600,5705985.00,674810.00,49.31
GPI,0,14100,0,29328.00,3.62
GPSC,631200,411900,38702150.00,25277725.00,16.30
GRAMMY,0,500,0,4270.00,0.25
GRAND,10000,0,9000.00,0,0.75
GSC,300,1000,372.00,1200.00,0.04
GULF,508800,601300,53542750.00,63192400.00,16.06
GUNKUL,1999800,1106500,5561826.00,3088756.00,7.35
HANA,222902,287700,6801186.00,8786050.00,5.76
HMPRO,7014700,7372813,112775740.00,118369600.60,25.12
HTECH,22500,111900,98226.00,490698.00,2.57
HUMAN,64700,42900,517600.00,344020.00,6.02
HYDRO,20000,25700,7600.00,10023.00,4.66
ICHI,266000,272500,1021340.00,1049802.00,13.92
ICN,500,44500,968.00,85897.00,7.88
III,500,500,2825.00,2850.00,0.02
ILINK,600,19000,3180.00,99750.00,1.34
INOX,0,11100,0,10090.00,6.82
INTUCH,3012203,1779300,174842449.75,103737375.00,25.18
IRC,0,1000,0,18490.00,2.44
IRPC,17077230,43328900,90483484.00,229183100.00,22.05
IT,0,9000,0,23580.00,7.76
ITD,645400,1936000,1461472.00,4379268.00,28.36
ITEL,5000,0,16300.00,0,0.59
IVL,3558042,4151600,168738167.75,197221825.00,21.87
JAS,1386230,6568800,7701303.00,36434860.00,12.61
JAS-W3,11000,25400,37360.00,86936.00,2.44
JCKH,1000,0,791.00,0,0.03
JKN,0,68300,0,540860.00,2.92
JMART,642100,367200,6058775.00,3435095.00,10.57
JMT,536800,202100,8084750.00,3055730.00,5.19
JWD,459300,338400,3909175.00,2869475.00,8.94
KAMART,50500,125000,200106.00,495170.00,6.85
KASET,10000,0,18700.00,0,10.06
KBANK,1345301,1776077,251815137.50,332430403.50,28.39
KCE,901200,2176800,21143470.00,51248390.00,12.26
KCM,2000,0,1900.00,0,0.18
KGI,1059000,736300,4753854.00,3287854.00,7.78
KKP,277900,714700,18476050.00,47498425.00,13.00
KOOL,0,26200,0,37400.00,1.35
KSL,43000,187300,125820.00,545672.00,4.63
KTB,3937400,6487800,74398540.00,122420220.00,30.98
KTC,1590400,1734100,64138875.00,70085650.00,10.33
KYE,0,100,0,40800.00,4.54
LANNA,0,25900,0,289690.00,12.50
LH,17331100,6947500,186026477.00,74224560.00,29.03
LHFG,743223,2400,1108603.96,3576.00,14.62
LHK,1300,0,5018.00,0,0.71
LIT,11000,112000,58850.00,600455.00,4.54
LIT-W1,0,200000,0,200627.00,3.98
LPH,0,3700,0,19425.00,0.73
LPN,842400,1889500,5745935.00,12856580.00,29.39
LST,100,0,438.00,0,0.11
LTX,0,2000,0,195000.00,13.89
M,80600,13400,5660350.00,942150.00,11.01
MACO,396400,295000,589193.00,436675.00,2.51
MACO-W2,2308600,0,466002.00,0,0.95
MAJOR,2939436,1433553,85078244.00,41437837.50,23.80
MAKRO,8900,56300,293525.00,1849075.00,8.03
MALEE,41900,33400,303940.00,242645.00,7.24
MATCH,3000,3000,6240.00,6300.00,0.22
MBK,134300,269340,2740070.00,5480158.00,18.69
MBKET,2700,0,25075.00,0,2.45
MC,11100,141000,94920.00,1202410.00,19.06
MCOT,0,46900,0,502410.00,3.32
MCS,266000,61900,1908365.00,443815.00,16.90
MDX,700,0,2894.00,0,0.23
MEGA,235300,213900,7869400.00,7156350.00,11.19
META,4900,3000,7791.00,4770.00,0.96
METCO,200,0,36200.00,0,50.00
MFEC,100,0,344.00,0,0.02
MGT,0,10000,0,17306.00,21.83
MINT,4365300,5892000,158466250.00,213718800.00,31.16
MK,40000,40000,133600.00,134400.00,15.17
MODERN,7000,0,24220.00,0,0.52
MONO,30000,50000,50726.00,85500.00,0.95
MOONG,18200,0,103230.00,0,1.54
MORE,0,3000,0,480.00,0.01
MPG,100000,0,72000.00,0,0.60
MTC,3603600,2903300,175488675.00,141139800.00,27.04
MVP,0,356000,0,691470.00,2.89
NCH,0,100000,0,97000.00,13.48
NDR,17100,0,34328.00,0,6.36
NEP,0,11100,0,3441.00,0.69
NER,260000,300000,619600.00,713000.00,2.12
NETBAY,32600,5700,939325.00,164425.00,3.67
NEX,1000,0,3440.00,0,0.48
NINE,147800,0,294753.00,0,29.37
NPPG,50000,0,54500.00,0,1.57
NUSA,9300,11900,3720.00,4760.00,0.56
NWR,247100,980700,219428.00,868484.00,4.62
NYT,15900,24100,77442.00,117946.00,3.89
OCEAN,200,164900,262.00,217103.00,4.60
OGC,4000,0,136225.00,0,44.44
OISHI,401,8,39899.25,790.00,0.47
ORI,232400,910700,1624910.00,6392955.00,11.08
OSP,1140700,119900,36759375.00,3833250.00,4.93
PACE,2300,0,483.00,0,0.04
PAP,0,15300,0,42732.00,3.08
PATO,0,12000,0,151000.00,14.71
PDI,11500,16200,126350.00,178240.00,5.97
PERM,0,85500,0,116280.00,18.60
PF,584400,3000300,444144.00,2310231.00,18.86
PJW,20000,40000,36400.00,73200.00,1.15
PK,53500,100,121074.00,222.00,17.43
PLANB,140733,3682700,922312.10,24536345.00,10.87
PLAT,0,291830,0,1818999.50,5.86
PLE,20000,0,22400.00,0,0.44
PM,10500,0,89775.00,0,1.57
PORT,0,46700,0,225094.00,5.51
PPP,0,1500,0,4020.00,1.24
PPPM,2000,0,3940.00,0,0.15
PREB,0,10900,0,114450.00,0.92
PRINC,24600,59700,112578.00,271886.00,8.58
PRM,1196600,552900,8512645.00,3968600.00,6.24
PROUD,0,100000,0,186001.00,5.60
PSH,325300,118300,6053760.00,2193090.00,12.32
PSL,1215700,1007900,9045565.00,7464260.00,14.67
PSTC,3192200,643300,1929558.00,385980.00,9.39
PT,418500,0,2486350.00,0,19.08
PTG,3202300,3559800,40128640.00,44565220.00,14.06
PTL,12800,102776,187070.00,1496981.00,3.52
PTT,7603700,10811100,363171550.00,515938975.00,23.28
