symbol,date,price_open,price_high,price_low,price_avg,price_close,trade_volume,trade_value
CPALL,2019-03-28,74.00,74.50,74.00,74.21,74.25,16359.79,1214.00
CPALL,2019-03-29,74.25,75.25,74.25,74.68,74.75,21082.73,1574.51
CPALL,2019-04-01,74.75,76.00,74.75,75.60,75.75,27947.50,2112.94
CPALL,2019-04-02,76.00,76.50,75.75,76.09,76.25,16187.46,1231.77
CPALL,2019-04-03,76.50,76.50,75.50,75.95,76.00,13760.78,1045.16
CPALL,2019-04-04,76.00,76.00,75.00,75.48,75.25,16640.51,1255.97
CPALL,2019-04-05,75.25,76.50,75.25,76.05,76.25,12332.24,937.86
CPALL,2019-04-09,76.25,77.00,76.00,76.53,77.00,23376.15,1789.09
CPALL,2019-04-10,77.00,77.50,76.50,77.09,77.00,14293.41,1101.91
CPALL,2019-04-11,77.25,77.25,76.50,76.96,77.25,13845.57,1065.60
CPALL,2019-04-12,77.25,77.25,76.50,76.79,77.00,9208.02,707.04
CPALL,2019-04-17,77.25,78.00,77.00,77.47,77.25,20810.57,1612.24
CPALL,2019-04-18,77.50,77.75,77.00,77.27,77.00,16990.16,1313.79
CPALL,2019-04-19,77.00,77.50,76.75,77.22,77.25,4904.14,378.68
CPALL,2019-04-22,77.50,77.50,77.00,77.34,77.50,8604.83,665.47
CPALL,2019-04-23,77.75,78.00,77.25,77.60,77.50,9048.32,702.19
CPALL,2019-04-24,77.75,78.25,77.50,77.88,78.00,13730.35,1069.35
CPALL,2019-04-25,77.75,78.00,76.75,77.13,76.75,17140.23,1321.95
CPALL,2019-04-26,76.50,77.00,76.00,76.58,76.75,20454.90,1566.43
CPALL,2019-04-29,77.00,77.25,76.50,76.98,77.00,9475.39,729.43
CPALL,2019-04-30,77.00,77.75,76.75,77.26,77.50,15111.17,1167.47
CPALL,2019-05-02,77.75,78.00,77.50,77.71,77.50,18497.27,1437.33
CPALL,2019-05-03,77.00,77.75,76.75,77.34,77.50,12298.12,951.12
CPALL,2019-05-07,77.00,77.00,76.25,76.55,76.25,17859.69,1367.03
CPALL,2019-05-08,75.75,76.50,75.50,76.06,76.00,19456.28,1479.93
CPALL,2019-05-09,76.00,76.25,75.75,75.96,75.75,15759.40,1197.09
CPALL,2019-05-10,77.00,77.25,76.00,76.78,76.75,38473.77,2953.91
CPALL,2019-05-13,77.00,77.25,76.25,76.64,76.25,14956.05,1146.25
CPALL,2019-05-14,76.00,77.25,75.75,76.63,77.25,25440.79,1949.59
CPALL,2019-05-15,77.25,77.25,76.50,76.79,76.50,12827.02,984.91
CPALL,2019-05-16,76.25,76.75,76.00,76.32,76.25,25333.36,1933.33
CPALL,2019-05-17,76.75,77.25,76.50,76.84,76.75,28594.00,2197.22
CPALL,2019-05-21,77.00,77.00,76.25,76.54,76.25,18433.50,1410.95
