Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,38.250000,41.250000,38.250000,40.750000,39.566978,52588100
2017-01-05,40.750000,42.500000,40.250000,41.500000,40.295208,60027400
2017-01-06,41.250000,42.250000,40.750000,42.000000,40.780689,18215600
2017-01-09,40.750000,41.750000,39.500000,41.000000,39.809723,27605600
2017-01-10,41.000000,41.500000,40.000000,40.750000,39.566978,13450800
2017-01-11,40.750000,43.000000,40.750000,42.500000,41.266174,42353000
2017-01-12,42.750000,42.750000,41.500000,42.250000,41.023434,11643600
2017-01-16,42.500000,42.500000,41.500000,41.500000,40.295208,8044500
2017-01-17,41.750000,42.250000,41.250000,41.500000,40.295208,10349800
2017-01-18,41.750000,44.250000,41.500000,44.000000,42.722630,33501700
2017-01-19,44.000000,44.750000,43.000000,43.500000,42.237144,22693000
2017-01-20,43.500000,46.000000,43.500000,45.500000,44.179081,29933400
2017-01-23,46.000000,46.500000,45.000000,45.250000,43.936340,22502100
2017-01-24,45.500000,46.750000,45.250000,46.500000,45.150051,13794700
2017-01-25,46.500000,46.500000,43.250000,43.500000,42.237144,30940100
2017-01-26,44.000000,44.250000,41.250000,42.000000,40.780689,36961000
2017-01-27,41.750000,42.750000,41.250000,42.500000,41.266174,15657400
2017-01-30,42.000000,42.250000,40.750000,41.500000,40.295208,13075900
2017-01-31,40.000000,41.000000,39.000000,39.250000,38.110523,45891700
2017-02-01,39.000000,42.000000,39.000000,42.000000,40.780689,30041000
2017-02-02,42.000000,43.250000,41.000000,42.750000,41.508919,23827900
2017-02-03,42.500000,43.750000,42.250000,43.250000,41.994400,11934300
2017-02-06,43.250000,43.500000,42.250000,43.500000,42.237144,7737900
2017-02-07,43.750000,43.750000,41.250000,41.250000,40.052464,11257700
2017-02-08,42.000000,43.000000,41.500000,42.250000,41.023434,11662500
2017-02-09,42.250000,42.500000,41.250000,41.250000,40.052464,5686300
2017-02-10,41.500000,42.250000,41.500000,41.500000,40.295208,5244300
2017-02-14,42.250000,42.250000,41.250000,41.750000,40.537949,3127900
2017-02-15,41.750000,43.000000,41.500000,42.500000,41.266174,11928700
2017-02-16,42.500000,44.750000,42.500000,44.500000,43.208111,25581500
2017-02-17,44.250000,44.750000,44.000000,44.250000,42.965370,4379200
2017-02-20,44.500000,44.750000,43.250000,43.750000,42.479885,7616300
2017-02-21,44.000000,44.250000,43.250000,43.500000,42.237144,5700400
2017-02-22,43.250000,43.500000,42.250000,42.750000,41.508919,7841500
2017-02-23,42.750000,43.500000,42.500000,43.000000,41.751659,6781600
2017-02-24,43.000000,43.500000,42.500000,42.500000,41.266174,4349000
2017-02-27,42.500000,43.250000,42.250000,43.000000,41.751659,3354700
2017-02-28,43.500000,43.750000,43.000000,43.500000,42.237144,4920400
2017-03-01,43.750000,43.750000,43.000000,43.250000,41.994400,3235400
2017-03-02,43.500000,43.500000,42.250000,42.500000,41.266174,4598500
2017-03-03,42.250000,42.250000,41.500000,41.500000,40.295208,7757900
2017-03-06,41.500000,42.250000,40.000000,40.500000,39.324238,12984200
2017-03-07,40.000000,40.750000,39.250000,40.000000,38.838749,18801600
2017-03-08,39.750000,40.250000,39.500000,39.750000,38.596008,11952100
2017-03-09,39.750000,41.000000,39.750000,40.500000,39.324238,6109700
2017-03-10,40.750000,41.250000,39.750000,39.750000,38.596008,5321100
2017-03-13,40.000000,40.000000,39.000000,39.000000,37.867783,7155400
2017-03-14,39.000000,41.000000,38.750000,40.500000,39.324238,8363500
2017-03-15,40.500000,40.750000,40.250000,40.500000,39.324238,2143900
2017-03-16,41.000000,42.000000,40.750000,41.500000,40.295208,11268800
2017-03-17,41.500000,42.000000,41.500000,41.500000,40.295208,4414700
2017-03-20,41.500000,42.250000,41.500000,41.750000,40.537949,3515000
2017-03-21,42.000000,42.500000,41.500000,42.500000,41.266174,4242800
2017-03-22,42.000000,43.250000,42.000000,42.750000,41.508919,6848100
2017-03-23,43.000000,43.250000,42.750000,42.750000,41.508919,3323700
2017-03-24,43.000000,43.000000,42.750000,43.000000,41.751659,1629900
2017-03-27,43.250000,44.000000,43.000000,43.500000,42.237144,6088200
2017-03-28,43.500000,44.750000,43.250000,44.250000,42.965370,13015900
2017-03-29,44.250000,44.250000,43.500000,44.250000,42.965370,5158100
2017-03-30,44.250000,44.500000,43.250000,43.500000,42.237144,6637500
2017-03-31,43.250000,44.000000,43.000000,44.000000,42.722630,2855100
2017-04-03,44.000000,44.000000,43.000000,43.250000,41.994400,1785300
2017-04-04,43.000000,43.250000,42.250000,42.250000,41.023434,4130300
2017-04-05,42.500000,42.750000,42.000000,42.000000,40.780689,2953200
2017-04-07,42.000000,43.250000,42.000000,42.750000,41.508919,3132200
2017-04-10,42.750000,42.750000,42.250000,42.500000,41.266174,3015300
2017-04-11,42.500000,42.750000,42.250000,42.250000,41.023434,1348200
2017-04-12,42.500000,43.500000,42.250000,43.250000,41.994400,3586200
2017-04-17,43.000000,43.000000,42.500000,42.750000,41.508919,2006500
2017-04-18,43.000000,43.250000,42.500000,42.500000,41.266174,2859200
2017-04-19,41.500000,42.500000,41.250000,42.250000,41.023434,7462600
2017-04-20,42.500000,43.000000,42.250000,42.750000,41.508919,5706700
2017-04-21,43.250000,43.250000,42.250000,42.250000,41.023434,5810900
2017-04-24,42.750000,42.750000,41.750000,42.250000,41.023434,1827900
2017-04-25,42.750000,42.750000,41.000000,42.000000,40.780689,7165300
2017-04-26,41.750000,41.750000,40.750000,41.000000,39.809723,6200600
2017-04-27,41.000000,41.750000,40.750000,41.250000,40.052464,2514500
2017-04-28,41.500000,41.750000,41.250000,41.500000,40.295208,1472900
2017-05-02,41.750000,42.250000,41.500000,41.500000,40.295208,2264600
2017-05-03,41.500000,42.000000,41.500000,41.500000,40.295208,1160400
2017-05-04,41.500000,42.000000,41.500000,42.000000,40.780689,1131100
2017-05-08,42.500000,42.500000,41.500000,41.500000,40.295208,1931300
2017-05-09,41.750000,42.000000,41.000000,41.250000,40.052464,3179100
2017-05-11,41.250000,41.750000,41.000000,41.500000,40.295208,2944000
2017-05-12,41.250000,41.500000,40.750000,41.500000,40.295208,2183400
2017-05-15,41.000000,41.000000,41.000000,41.000000,39.809723,261600
2017-05-16,41.000000,41.750000,41.000000,41.500000,40.295208,1791700
2017-05-17,41.750000,42.250000,40.500000,40.500000,39.324238,9646200
2017-05-18,40.500000,41.000000,40.250000,40.750000,39.566978,2294100
2017-05-19,40.750000,41.250000,40.750000,41.000000,39.809723,1812900
2017-05-22,41.000000,42.000000,41.000000,42.000000,40.780689,5444200
2017-05-23,42.250000,42.250000,41.750000,42.000000,40.780689,6011400
2017-05-24,45.000000,45.500000,42.500000,43.000000,41.751659,48393200
2017-05-25,43.500000,44.000000,43.250000,43.750000,42.479885,24800800
2017-05-26,44.000000,44.500000,43.750000,43.750000,42.479885,8776500
2017-05-29,44.250000,46.000000,43.750000,45.500000,44.179081,32402500
2017-05-30,46.000000,48.500000,45.500000,47.500000,46.121017,51007300
2017-05-31,47.500000,48.000000,46.500000,46.750000,45.392792,15514100
2017-06-01,47.000000,47.000000,45.750000,46.250000,44.907307,8920900
2017-06-02,46.500000,47.500000,46.500000,46.750000,45.392792,7353700
2017-06-05,47.000000,47.750000,46.250000,46.750000,45.392792,13648400
2017-06-06,46.500000,46.500000,44.500000,46.000000,44.664566,22799900
2017-06-07,46.250000,46.750000,46.000000,46.500000,45.150051,10370700
2017-06-08,46.250000,49.500000,46.250000,48.750000,47.334728,23342300
2017-06-09,49.500000,51.000000,49.000000,50.750000,49.276665,40157000
2017-06-12,50.500000,51.000000,49.750000,50.750000,49.276665,8261000
2017-06-13,51.000000,52.500000,50.750000,52.500000,50.975861,21630700
2017-06-14,53.000000,53.750000,51.750000,52.000000,50.490376,20520300
2017-06-15,51.750000,53.000000,51.250000,51.750000,50.247635,16457600
2017-06-16,52.000000,52.250000,51.000000,51.250000,49.762150,8164900
2017-06-19,51.500000,52.500000,51.250000,52.000000,50.490376,4990200
2017-06-20,52.250000,52.750000,51.500000,52.000000,50.490376,6344200
2017-06-21,52.000000,52.250000,51.250000,51.500000,50.004890,5780200
2017-06-22,51.750000,52.000000,51.500000,51.750000,50.247635,3280500
2017-06-23,52.000000,54.000000,51.500000,53.750000,52.189571,21720300
2017-06-26,54.000000,54.750000,53.000000,53.500000,51.946831,17208100
2017-06-27,53.750000,53.750000,51.750000,52.750000,51.218601,11956400
2017-06-28,52.750000,52.750000,52.000000,52.250000,50.733120,5553800
2017-06-29,52.500000,53.250000,51.500000,52.250000,50.733120,9759800
2017-06-30,52.500000,52.500000,51.250000,52.500000,50.975861,8445300
2017-07-03,52.750000,53.250000,51.500000,53.250000,51.704086,8072200
2017-07-04,53.500000,53.500000,51.750000,51.750000,50.247635,4994400
2017-07-05,51.750000,52.750000,51.750000,52.500000,50.975861,4903300
2017-07-06,52.500000,52.500000,51.750000,51.750000,50.247635,4246200
2017-07-07,52.000000,52.000000,49.750000,50.750000,49.276665,14278900
2017-07-11,51.000000,51.500000,50.250000,51.250000,49.762150,5927500
2017-07-12,51.250000,55.000000,51.000000,54.750000,53.160542,28327900
2017-07-13,55.000000,56.000000,54.250000,55.500000,53.888767,24191400
2017-07-14,55.000000,55.000000,54.000000,54.750000,53.160542,18038600
2017-07-17,55.000000,55.250000,54.000000,54.750000,53.160542,6298300
